WONumber,BuildingNum,AptNum,JobStatus,Category,CallDate,StartDate,SchedDate,BatchID,BatchDate,CompleteDate,Employee,BriefDesc,Quantity,Code,FullDesc,UnitPrice,PayAmt,woBatchOccuredDate,PostedMonth,WODetailRowID,Date1,Date2
495172,3526,"1F","Work Completed","Supplies","2024-05-30 13:11:55",,"2024-06-20 17:33:00",1600031952,"2024-07-11 17:36:03","2024-06-14 17:29:00",,"3526-1F-CABINET ORDER                        ",1,"05-00100        ","12'' BASE CABINET",224.25,224.25,"2024-06-30 00:00:00","2024-06",968731,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495174,3651,"3652-4B","Scheduled","Repairs","2024-05-30 13:21:38",,"2024-07-09 13:21:00",0,,,,"3651-3652-4B-3 YEAR PAINT                    ",1,279             ,"Prime bathroom with mildew resistant primer",175,175,,,968741,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495174,3651,"3652-4B","Scheduled","Repairs","2024-05-30 13:21:38",,"2024-07-09 13:21:00",0,,,,"3651-3652-4B-3 YEAR PAINT                    ",5,801             ,"PER ROOM  Scrape, Plaster, Paint the complete apartment with white (#160) paint.  (hallway/bathroom/kitchen/bedroom/living room)",325,1625,,,968739,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493330,616,,"Work Completed","Supplies","2024-05-06 12:18:06",,"2024-05-06 12:18:00",1600031838,"2024-06-17 13:41:37","2024-05-06 16:14:00",,"616/637 BLDG SUPPLIES                        ",2,"40-00776        ","BAGS, MATTRESS (KING/QUEEN)",6.2,12.4,"2024-05-31 00:00:00","2024-05",966688,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495218,3527,"BLDG","Work Completed","Supplies","2024-05-30 16:58:16",,"2024-06-11 09:00:30",1600031838,"2024-06-17 13:41:37","2024-05-31 09:00:00",,"3527-Building Paint                          ",1,"30-00400        ","Paint, #160 5 gallon (white)",162,162,"2024-05-31 00:00:00","2024-05",968757,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495238,1095,"BLDG","Work Completed","APH-Boiler","2024-05-31 09:23:32",,"2024-05-31 09:23:00",1600031840,"2024-06-17 13:46:57","2024-05-31 20:56:00",,"1095-bldg-boiler                             ",1,"aph_boiler      ","APH BOILER SERVICES",726,726,"2024-05-31 00:00:00","2024-05",969863,"2024-03-22 00:00:00","2024-11-22 00:00:00"
488529,1006,"BOILER","Work Completed","APH-Boiler","2024-03-01 13:33:23",,"2024-06-11 20:34:35",1600031840,"2024-06-17 13:46:57","2024-04-10 20:32:00",,"1006 - Boiler - Leak on Return line          ",1,"aph_boiler      ","APH BOILER SERVICES",185,185,"2024-05-31 00:00:00","2024-05",969851,"2024-03-22 00:00:00","2024-11-22 00:00:00"
488529,1006,"BOILER","Work Completed","APH-Boiler","2024-03-01 13:33:23",,"2024-06-11 20:34:35",1600031840,"2024-06-17 13:46:57","2024-04-10 20:32:00",,"1006 - Boiler - Leak on Return line          ",2,"35-0090         ","Fire Tubes",20,40,"2024-05-31 00:00:00","2024-05",969852,"2024-03-22 00:00:00","2024-11-22 00:00:00"
493629,1096,"BOILER","Work Completed","APH-Boiler","2024-05-09 10:31:44",,"2024-05-09 10:31:00",1600031840,"2024-06-17 13:46:57","2024-05-09 07:57:00",,"1096-BOILER-REPAIR                           ",1,"aph_boiler      ","APH BOILER SERVICES",3516,3516,"2024-05-31 00:00:00","2024-05",969853,"2024-03-22 00:00:00","2024-11-22 00:00:00"
495097,1091,"2B","Work Completed","Repairs","2024-05-30 09:53:59",,"2024-06-07 09:54:00",1600031951,"2024-07-11 17:34:18","2024-06-07 10:47:00",,"1091-2B-Post Plumbing Repairs                ",1,279             ,"Prime bathroom with mildew resistant primer",175,175,"2024-06-30 00:00:00","2024-06",968642,"2024-03-22 00:00:00","2024-11-22 00:00:00"
