WONumber,BuildingNum,AptNum,JobStatus,Category,CallDate,StartDate,SchedDate,BatchID,BatchDate,CompleteDate,Employee,BriefDesc,Quantity,Code,FullDesc,UnitPrice,PayAmt,woBatchOccuredDate,PostedMonth,WODetailRowID,Date1,Date2
494201,1039,"BOILER","Work Completed","APH-Boiler","2024-05-16 14:13:33",,"2024-05-16 14:13:00",1600031840,"2024-06-17 13:46:57","2024-05-16 21:12:00",,"1039-BOILER-LEAK                             ",1,"aph_boiler      ","APH BOILER SERVICES",690.72,690.72,"2024-05-31 00:00:00","2024-05",969868,"2024-04-12 00:00:00","2024-12-12 00:00:00"
495113,3529,"4A","Work Completed","Repairs","2024-05-30 10:47:19",,"2024-06-18 10:47:00",1600031951,"2024-07-11 17:34:18","2024-06-18 12:08:00",,"3529-4A-REPAIR                               ",1,390             ,"Install a new 32""x80"" prehung door to the entrance of bedroom #1 complete w/ a privacy lock.",425,425,"2024-06-30 00:00:00","2024-06",968655,"2024-04-12 00:00:00","2024-12-12 00:00:00"
496164,2042,4,"Work Completed","Repairs","2024-06-11 13:23:03",,"2024-06-25 12:41:00",1600031951,"2024-07-11 17:34:18","2024-06-25 10:29:00",,"2042 - 4 -Post Plbg repair Bathroom          ",4,263             ,"SQFT   Repair the ceramic tile wall in the bathroom and install with wonderboard and 4x4 white wall tiles",29.4,117.6,"2024-06-30 00:00:00","2024-06",969843,"2024-04-12 00:00:00","2024-12-12 00:00:00"
496350,1027,"4G","Work Completed","Supplies","2024-06-13 09:39:01",,"2024-07-09 15:48:33",1600031952,"2024-07-11 17:36:03","2024-06-20 15:48:00",,"1027-4G SUPPLIES                             ",3,"10-03700        ","Saddle,Wood 4",14.85,44.55,"2024-06-30 00:00:00","2024-06",969988,"2024-04-12 00:00:00","2024-12-12 00:00:00"
496350,1027,"4G","Work Completed","Supplies","2024-06-13 09:39:01",,"2024-07-09 15:48:33",1600031952,"2024-07-11 17:36:03","2024-06-20 15:48:00",,"1027-4G SUPPLIES                             ",1,"40-05650        ","Medicine Cabinet",45.23,45.23,"2024-06-30 00:00:00","2024-06",969987,"2024-04-12 00:00:00","2024-12-12 00:00:00"
492994,1002,"4D","Work Completed","APH-Plumbing","2024-05-01 11:24:36",,"2024-05-01 11:24:00",1600031953,"2024-07-11 17:41:30","2024-05-14 10:17:00",,"1002-4D-Unclog Sink                          ",1,"aph_plumbing    ","APH PLUMBING SERVICES",5200,5200,"2024-06-30 00:00:00","2024-06",969802,"2024-04-12 00:00:00","2024-12-12 00:00:00"
495202,1512,"BLDG","Work Completed","Supplies","2024-05-30 14:46:29",,"2024-05-30 14:46:00",1600032110,"2024-08-08 09:17:11","2024-07-31 15:28:00",,"1512-BLDG-SUPPLIES                           ",1,"30-01100        ","Plaster, white (25lb bags)",26,26,"2024-07-31 00:00:00","2024-07",968754,"2024-04-12 00:00:00","2024-12-12 00:00:00"
495202,1512,"BLDG","Work Completed","Supplies","2024-05-30 14:46:29",,"2024-05-30 14:46:00",1600032110,"2024-08-08 09:17:11","2024-07-31 15:28:00",,"1512-BLDG-SUPPLIES                           ",1,001             ,"DELIVERY",30,30,"2024-07-31 00:00:00","2024-07",968756,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493416,3522,"4G","Work Completed","Repairs","2024-05-07 10:51:01",,"2024-05-31 10:51:00",1600031837,"2024-06-17 13:39:17","2024-05-31 16:11:00",,"3522-4G-REPAIRS                              ",1,,"BOTTOM TILE AT BATHTUB AREA",0,0,"2024-05-31 00:00:00","2024-05",966723,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493416,3522,"4G","Work Completed","Repairs","2024-05-07 10:51:01",,"2024-05-31 10:51:00",1600031837,"2024-06-17 13:39:17","2024-05-31 16:11:00",,"3522-4G-REPAIRS                              ",10,,"DEMO TILE",9.6,96,"2024-05-31 00:00:00","2024-05",966724,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493333,1181,"BLDG","Work Completed","Supplies","2024-05-06 12:35:35",,"2024-05-06 12:35:00",1600031838,"2024-06-17 13:41:37","2024-05-07 16:49:00",,"1181-BLDG-PAINT                              ",1,"30-00450        ","Paint, Battleship Grey 5 Gal.",260,260,"2024-05-31 00:00:00","2024-05",966689,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493344,3552,"2B","Work Completed","Supplies","2024-05-06 14:45:26",,"2024-05-06 14:45:00",1600031838,"2024-06-17 13:41:37","2024-05-07 16:44:00",,"3552-2B-KITCHEN OUTLET                       ",2,"20-00561        ","GFI Outlets",15,30,"2024-05-31 00:00:00","2024-05",966693,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493333,1181,"BLDG","Work Completed","Supplies","2024-05-06 12:35:35",,"2024-05-06 12:35:00",1600031838,"2024-06-17 13:41:37","2024-05-07 16:49:00",,"1181-BLDG-PAINT                              ",1,"30-00900        ","Paint, Roller9",3.95,3.95,"2024-05-31 00:00:00","2024-05",966690,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493333,1181,"BLDG","Work Completed","Supplies","2024-05-06 12:35:35",,"2024-05-06 12:35:00",1600031838,"2024-06-17 13:41:37","2024-05-07 16:49:00",,"1181-BLDG-PAINT                              ",1,"30-00210        ","Paint,Brush 3",2.03,2.03,"2024-05-31 00:00:00","2024-05",966691,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493382,1011,"BLDG","Work Completed","Supplies","2024-05-07 09:43:18",,"2024-05-07 09:43:00",1600031838,"2024-06-17 13:41:37","2024-05-10 17:07:00",,"1011-bldg-supplies                           ",6,"40-00450        ","Bags, Recycle Clear 55 Gallon",40.58,243.48,"2024-05-31 00:00:00","2024-05",966703,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493382,1011,"BLDG","Work Completed","Supplies","2024-05-07 09:43:18",,"2024-05-07 09:43:00",1600031838,"2024-06-17 13:41:37","2024-05-10 17:07:00",,"1011-bldg-supplies                           ",2,"40-05625        ","Mailbox Locks 5 - Cam",9.25,18.5,"2024-05-31 00:00:00","2024-05",966707,"2024-04-12 00:00:00","2024-12-12 00:00:00"
492916,3522,"2A","Work Completed","APH-Plumbing","2024-04-30 12:06:49",,"2024-04-30 12:06:00",1600031839,"2024-06-17 13:45:39","2024-06-11 10:44:00",,"3522-2A-TUB STOPPAGE                         ",1,"aph_plumbing    ","APH PLUMBING SERVICES",420,420,"2024-05-31 00:00:00","2024-05",969810,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493274,1028,"3G","Work Completed","APH-Plumbing","2024-05-03 14:39:53",,"2024-05-03 14:39:00",1600031839,"2024-06-17 13:45:39","2024-05-03 10:14:00",,"1028- 3G BATHTUB STOPPAGE                    ",1,"aph_plumbing    ","APH PLUMBING SERVICES",385,385,"2024-05-31 00:00:00","2024-05",970006,"2024-04-12 00:00:00","2024-12-12 00:00:00"
492978,2060,"2062BLDG","Work Completed","APH-Plumbing","2024-05-01 10:43:45",,"2024-05-01 10:43:00",1600031839,"2024-06-17 13:45:39","2024-05-01 21:22:00",,"2060-2062BLDG-HEAT CONTROL                   ",1,"aph_plumbing    ","APH PLUMBING SERVICES",195,195,"2024-05-31 00:00:00","2024-05",970131,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493543,3527,"4B","Work Completed","APH-Plumbing","2024-05-08 11:04:18",,"2024-05-08 11:04:00",1600031839,"2024-06-17 13:45:39","2024-05-09 10:57:00",,"3527-4B-PLUMBING/KITCHEN/SINK                ",1,"aph_plumbing    ","APH PLUMBING SERVICES",238.76,238.76,"2024-05-31 00:00:00","2024-05",970031,"2024-04-12 00:00:00","2024-12-12 00:00:00"
492991,1975,"1C","Work Completed","APH-Plumbing","2024-05-01 11:18:35",,"2024-05-01 11:18:00",1600031839,"2024-06-17 13:45:39","2024-06-03 10:18:00",,"1975-1c-shower body                          ",1,"aph_plumbing    ","APH PLUMBING SERVICES",195,195,"2024-05-31 00:00:00","2024-05",970008,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493221,1084,"1084-4B","Work Completed","APH-Plumbing","2024-05-03 10:25:06",,"2024-05-03 10:25:00",1600031839,"2024-06-17 13:45:39","2024-05-03 10:20:00",,"1084-4B-KITCHEN SINK                         ",1,"aph_plumbing    ","APH PLUMBING SERVICES",498.56,498.56,"2024-05-31 00:00:00","2024-05",970009,"2024-04-12 00:00:00","2024-12-12 00:00:00"
494821,3528,"BLDG","Work Completed","APH-Plumbing","2024-05-24 11:34:14",,"2024-05-24 11:34:00",1600031839,"2024-06-17 13:45:39","2024-06-13 09:23:00",,"3528-BLDG-PLUMBING                           ",1,"aph_plumbing    ","APH PLUMBING SERVICES",1200,1200,"2024-05-31 00:00:00","2024-05",969983,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493998,2041,"BOILER","Work Completed","APH-Boiler","2024-05-15 09:02:27",,,1600031840,"2024-06-17 13:46:57",,,"2041 - Boiler - Boiler Pump 5-15-24          ",1,"aph_boiler      ","APH BOILER SERVICES",2100,2100,"2024-05-31 00:00:00","2024-05",969864,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493977,1083,"BOILER","Work Completed","APH-Boiler","2024-05-14 14:51:07",,"2024-05-14 14:51:00",1600031840,"2024-06-17 13:46:57",,,"1083-boiler-boiler#2 down                    ",1,"aph_boiler      ","APH BOILER SERVICES",320,320,"2024-05-31 00:00:00","2024-05",969872,"2024-04-12 00:00:00","2024-12-12 00:00:00"
493537,3554,"BOILER","Work Completed","APH-Boiler","2024-05-08 10:32:33",,"2024-05-08 10:32:00",1600031840,"2024-06-17 13:46:57","2024-05-09 20:40:00",,"3554-BOILER-TUBES LEAKING                    ",1,"aph_boiler      ","APH BOILER SERVICES",221,221,"2024-05-31 00:00:00","2024-05",969854,"2024-04-12 00:00:00","2024-12-12 00:00:00"
