YardiMM2PODetID,PONumber,WONumber,VendorCode,Vendor,QtyOrdered,ExpenseType,UnitPrice,TotalCost,POAmount,WOAndInvoiceAmt,OrderDate,ReceivedDate,ItemCode,ItemDesc,Client,Date1,Date2
58303,48798   ,478797  ,"bp11        ","B&P Construction Group Corp.",1,"Subcontractor-Maintenance",12499.1,12499.1,84500.1,18000,"2023-10-18 00:00:00","2024-11-27 00:00:00","material        ","Misc","Lemle & Wolff Construction Corp.  f/n/a Apartment, 5925 BROADWAY","2024-03-01 00:00:00","2025-05-01 00:00:00"
58695,48798   ,478797  ,"bp11        ","B&P Construction Group Corp.",1,"Subcontractor-Maintenance",27000,27000,84500.1,18000,"2023-10-18 00:00:00","2024-11-27 00:00:00","material        ","Misc","Lemle & Wolff Construction Corp.  f/n/a Apartment, 5925 BROADWAY","2024-03-01 00:00:00","2025-05-01 00:00:00"
58469,48798   ,478797  ,"bp11        ","B&P Construction Group Corp.",1,"Subcontractor-Maintenance",10000,10000,84500.1,18000,"2023-10-18 00:00:00","2024-11-27 00:00:00","material        ","Misc","Lemle & Wolff Construction Corp.  f/n/a Apartment, 5925 BROADWAY","2024-03-01 00:00:00","2025-05-01 00:00:00"
59066,48798   ,478797  ,"bp11        ","B&P Construction Group Corp.",1,"Subcontractor-Maintenance",15501,15501,84500.1,18000,"2023-10-18 00:00:00","2024-11-27 00:00:00","material        ","Misc","Lemle & Wolff Construction Corp.  f/n/a Apartment, 5925 BROADWAY","2024-03-01 00:00:00","2025-05-01 00:00:00"
63624,48798   ,478797  ,"bp11        ","B&P Construction Group Corp.",1,"Subcontractor-Maintenance",6000,6000,84500.1,18000,"2023-10-18 00:00:00","2024-11-27 00:00:00","material        ","Misc","Lemle & Wolff Construction Corp.  f/n/a Apartment, 5925 BROADWAY","2024-03-01 00:00:00","2025-05-01 00:00:00"
59023,49264   ,482307  ,"mohawk      ","Mohawk Carpet",1,"Maintenance-COGS",2959.2,2959.2,2959.2,29053.8,"2024-01-03 00:00:00","2024-03-21 00:00:00","material        ","Misc","LARKSPUR LLC, 304 W 117TH ST","2024-03-01 00:00:00","2025-05-01 00:00:00"
59438,49473   ,485701  ,"gol12       ","Direct Cabinet Sales",1,"Maintenance-COGS",2618,2618,2618,2834.15,"2024-01-30 00:00:00","2024-03-19 00:00:00","material        ","Misc","555-565 ASSOCIATES LLC, 555-565 FORT WASHINGTON AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59501,49506   ,486294  ,"hco1        ","H.C. Oswald Supply Co Inc",1,"Boiler-COGS",5008.25,5008.25,5008.25,12850,"2024-02-02 00:00:00","2024-04-03 00:00:00","material        ","Misc","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 235 CYPRESS AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
60212,49549   ,486682  ,"hea2        ","HEATING & BURNER SUPPLY, INC.",1,"Boiler-COGS",118.67,118.67,1054.99,2277.56,"2024-02-07 00:00:00","2024-03-25 00:00:00","material        ","Misc","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 835-837 TRINITY AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
60164,49549   ,486682  ,"hea2        ","HEATING & BURNER SUPPLY, INC.",1,"Boiler-COGS",232.99,232.99,1054.99,2277.56,"2024-02-07 00:00:00","2024-03-19 00:00:00","material        ","Misc","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 835-837 TRINITY AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59604,49574   ,486909  ,"qua2        ","QUALITY TILE CORPORATION",1,"Maintenance-COGS",351.2,351.2,351.2,512.21,"2024-02-09 00:00:00","2024-08-08 00:00:00","material        ","Misc","357 EAST 150TH STREET HDFC, 747 MELROSE AVENUE","2024-03-01 00:00:00","2025-05-01 00:00:00"
59894,49594   ,,"hom2        ","HOME DEPOT CREDIT SERVICES",-40,"Maintenance-Inventory",11.24,-449.6,449.4,0,"2024-02-14 00:00:00","2024-03-12 00:00:00","20-00586        ","Fixture, Satco 13"" ceiling fixture w/o pull",", ","2024-03-01 00:00:00","2025-05-01 00:00:00"
60061,49595   ,483303  ,"cen1        ","Century Maintenance",1,"Maintenance-COGS",143.97,143.97,2293.77,22285,"2024-02-14 00:00:00","2024-03-14 00:00:00","material        ","Misc","BX-9E PARTNERS LP, 30 EAST CLARKE PLACE","2024-03-01 00:00:00","2025-05-01 00:00:00"
60104,49595   ,483303  ,"cen1        ","Century Maintenance",256,"Maintenance-COGS",1.44,368.64,2293.77,22285,"2024-02-14 00:00:00","2024-03-15 00:00:00","10-02050        ","Molding, 3 1/4 Clamshell (per 8 ft)","BX-9E PARTNERS LP, 30 EAST CLARKE PLACE","2024-03-01 00:00:00","2025-05-01 00:00:00"
