WONumber,JObStatus,Category,CompleteDate,CallDate,SchedDate,BatchID,BriefDesc,ExpenseType,yardiCreateDate,yardiUpdatedDate,Date1,Date2
386177,"Work Completed","Super","2024-12-06 16:42:31","2019-09-27 09:55:44",,0,"1026 - BLDG - Super Overtime                 ","Payables","2019-09-27 00:00:00","2024-12-06 16:42:31",,"2025-05-01 10:44:35"
386179,"Work Completed","Super","2024-12-06 16:42:37","2019-09-27 10:05:10",,0,"1024 - BDLG - Super Overtime                 ","Payables","2019-09-27 00:00:00","2024-12-06 16:42:37",,"2025-05-01 10:44:35"
387150,"Work Completed","Super","2024-12-06 16:43:19","2019-10-11 12:40:57",,0,"1025 - BLDG - Super Overtime                 ","Payables","2019-10-11 00:00:00","2024-12-06 16:43:19",,"2025-05-01 10:44:35"
390144,"Work Completed","Super","2024-12-11 17:09:30","2019-11-22 13:22:38",,0,"1025 - BLDG - Super Overtime                 ","Payables","2019-11-22 00:00:00","2024-12-11 17:09:30",,"2025-05-01 10:44:35"
390145,"Work Completed","Super","2024-12-11 17:09:44","2019-11-22 13:25:19",,0,"1024 - BLDG - Overtime                       ","Payables","2019-11-22 00:00:00","2024-12-11 17:09:44",,"2025-05-01 10:44:35"
455617,"Canceled","Repairs",,"2022-10-07 07:50:31",,0,"3004-6f 3YR PAINT JOB                        ","Payables","2022-10-07 00:00:00","2024-06-28 09:34:23",,"2025-05-01 10:44:35"
461528,"Work Completed","APH-Plumbing",,"2023-01-09 15:04:34","01/09/2023 15:04:00",1600031628,"3520-2H KITCHEN LEAK                         ","Payables","2023-01-09 00:00:00","2024-05-01 11:58:16",,"2025-05-01 10:44:35"
462227,"Canceled","Plumbing",,"2023-01-20 09:37:26",,0,"3502-22-RADIATOR                             ","Payables","2023-01-20 00:00:00","2024-04-30 09:29:03",,"2025-05-01 10:44:35"
463091,"Work Completed","APH-Plumbing","2023-02-02 11:34:00","2023-02-02 12:51:50","02/02/2023 12:51:00",1600031628,"3506-1b-sink leak                            ","Payables","2023-02-02 00:00:00","2024-04-30 11:36:31",,"2025-05-01 10:44:35"
463099,"Work Completed","Repairs","2024-02-22 13:47:00","2023-02-02 13:09:52","02/22/2023 13:09:00",1600031227,"1705-2d-3 year paint                         ","Payables","2023-02-02 00:00:00","2024-03-05 13:49:13",,"2025-05-01 10:44:35"
463183,"Canceled","Supplies",,"2023-02-03 11:02:26",,0,"3005-Bldg Laundry Sign                       ","Payables","2023-02-03 00:00:00","2024-06-21 13:45:12",,"2025-05-01 10:44:35"
463184,"Work Completed","APH-Plumbing","2023-02-03 11:43:00","2023-02-03 11:06:38","02/03/2023 11:06:00",1600031628,"1701-5B RADIATOR                             ","Payables","2023-02-03 00:00:00","2024-04-30 11:43:54",,"2025-05-01 10:44:35"
463408,"Work Completed","APH-Boiler",,"2023-02-07 11:13:49","02/07/2023 11:13:00",1600031629,"1021-CONED/BLDG GAS CONNECTION               ","Payables","2023-02-07 00:00:00","2024-04-30 15:04:14",,"2025-05-01 10:44:35"
463822,"Canceled","Repairs",,"2023-02-14 10:42:38",,0,"3005-6B Apartment Repairs                    ","Payables","2023-02-14 00:00:00","2024-06-21 13:43:49",,"2025-05-01 10:44:35"
464399,"Canceled","",,"2023-02-01 09:59:28",,0,"250-BLDG - Mix Valve                         ","Payables","2023-02-22 00:00:00","2024-09-13 11:11:58",,"2025-05-01 10:44:35"
465381,"Canceled","",,"2023-03-01 10:25:57",,0,"3005-7B- Apt. Repairs                        ","Payables","2023-03-01 00:00:00","2024-06-21 13:44:27",,"2025-05-01 10:44:35"
465416,"Canceled","Repairs",,"2023-03-01 14:01:02","04/14/2023 10:34:00",0,"3508-4C Floors                               ","Payables","2023-03-01 00:00:00","2025-01-10 12:31:01",,"2025-05-01 10:44:35"
466082,"Work Completed","APH-Plumbing",,"2023-03-10 12:04:36","03/10/2023 12:04:00",1600031628,"3524-6B CONVECT / CABIN.                     ","Payables","2023-03-10 00:00:00","2024-04-30 12:01:47",,"2025-05-01 10:44:35"
466403,"Work Completed","APH-Plumbing","2023-03-16 12:31:00","2023-03-16 15:26:12","03/16/2023 15:26:00",1600031628,"1096-2A TOILET BASE                          ","Payables","2023-03-16 00:00:00","2024-04-30 12:31:54",,"2025-05-01 10:44:35"
466795,"Canceled","Repairs",,"2023-03-24 10:44:47","04/13/2023 10:44:00",0,"1704-3D-3 YEAR PAINT                         ","Payables","2023-03-24 00:00:00","2024-06-13 11:36:24",,"2025-05-01 10:44:35"
467694,"Canceled","Repairs",,"2023-04-10 12:19:35","04/10/2023 12:19:00",0,"3006-Community Room Molding                  ","Payables","2023-04-10 00:00:00","2024-06-21 13:32:45",,"2025-05-01 10:44:35"
467938,"Scheduled","Repairs",,"2023-04-13 13:32:38","06/07/2024 13:32:00",0,"1061-2-1B-3 YR PAINT                         ","Payables","2023-04-13 00:00:00","2024-05-30 09:43:34",,"2025-05-01 10:44:35"
468714,"Work Completed","Repairs","2023-09-01 10:14:00","2023-04-27 10:39:24","05/02/2023 10:39:00",1600031227,"3572-4C-REPAIR                               ","Payables","2023-04-27 00:00:00","2024-03-01 10:15:21",,"2025-05-01 10:44:35"
469285,"Work Completed","APH-Plumbing",,"2023-05-08 10:35:39","05/08/2023 10:35:00",1600031628,"1703-3B-HEATERS                              ","Payables","2023-05-08 00:00:00","2024-05-14 17:13:36",,"2025-05-01 10:44:35"
469823,"Work Completed","Repairs","2024-10-02 18:02:00","2023-05-17 11:14:41","10/02/2023 08:47:00",1600032584,"2020/408/3 year paint                        ","Payables","2023-05-17 00:00:00","2024-11-07 18:05:00",,"2025-05-01 10:44:35"
470038,"Work Completed","APH-Plumbing",,"2023-05-22 11:25:47","05/22/2023 11:25:00",1600031628,"1113-1B-HEATER COVERS                        ","Payables","2023-05-22 00:00:00","2024-04-30 13:37:28",,"2025-05-01 10:44:35"
470958,"Work Completed","Repairs","2024-01-12 11:52:00","2023-06-08 07:54:39","12/26/2023 16:05:00",1600031227,"1107/3A/VAC/REPAIRS                          ","Payables","2023-06-08 00:00:00","2024-03-07 16:01:20",,"2025-05-01 10:44:35"
471152,"Work Completed","APH-Plumbing","2024-04-30 12:36:00","2023-06-12 07:43:36","04/30/2024 12:37:16",1600031628,"1006 - Bldg -sprinkler leak Laundry          ","Payables","2023-06-12 00:00:00","2024-04-30 12:37:16",,"2025-05-01 10:44:35"
471159,"Work Completed","APH-Plumbing","2023-06-12 12:48:00","2023-06-12 09:09:42","06/12/2023 09:09:00",1600031628,"1182-34-PLUMBING                             ","Payables","2023-06-12 00:00:00","2024-04-30 13:05:58",,"2025-05-01 10:44:35"
471523,"Canceled","APH-Boiler",,"2023-06-16 11:24:20",,0,"250 - Boiler - Boiler Repair                 ","Payables","2023-06-16 00:00:00","2024-09-13 11:41:49",,"2025-05-01 10:44:35"
472736,"Work Completed","APH-Plumbing","2023-07-12 11:21:00","2023-07-12 10:58:45","07/12/2023 10:58:00",1600031628,"1833 - FOUL ODOR                             ","Payables","2023-07-12 00:00:00","2024-05-01 11:35:33",,"2025-05-01 10:44:35"
472797,"Canceled","Repairs",,"2023-07-13 10:29:44","07/13/2023 10:29:00",0,"616-6H HALLWAY FLOOR REPAIR                  ","Payables","2023-07-13 00:00:00","2024-04-01 16:34:58",,"2025-05-01 10:44:35"
472978,"Work Completed","Repairs","2024-10-07 16:14:00","2023-07-17 11:10:52","10/07/2024 11:10:00",1600032584,"1055-3-1R-PAINT BEDROOM CEILING              ","Payables","2023-07-17 00:00:00","2024-11-07 16:28:05",,"2025-05-01 10:44:35"
