PONumber,WONumber,Vendor,QtyOrdered,ExpenseType,UnitPrice,TotalCost,OrderDate,ReceivedDate,ItemCode,ItemDesc,Client
46808   ,,"RITZ PAINT",40,"Maintenance-Inventory",24,960,"2023-01-05 00:00:00",,"30-00400        ","Paint, #160 5 gallon (white)",", "
46808   ,,"RITZ PAINT",6,"Maintenance-Inventory",24,144,"2023-01-05 00:00:00",,"30-00300        ","Paint,#160 2 gallon (white)",", "
46808   ,,"RITZ PAINT",8,"Maintenance-Inventory",42.95,343.6,"2023-01-05 00:00:00",,"30-02000        ","Paint, Zinser Perma White Mildew",", "
46808   ,,"RITZ PAINT",20,"Maintenance-Inventory",24,480,"2023-01-05 00:00:00",,"30-00600        ","Paint, BEIGE 5 gallon",", "
46808   ,,"RITZ PAINT",12,"Maintenance-Inventory",49.95,599.4,"2023-01-05 00:00:00",,"30-01900        ","Primer, Zinser Mildew",", "
46808   ,,"RITZ PAINT",40,"Maintenance-Inventory",5,200,"2023-01-05 00:00:00",,"40-06900        ","Tape, Duct",", "
46808   ,,"RITZ PAINT",36,"Maintenance-Inventory",0.75,27,"2023-01-05 00:00:00",,"30-00205        ","PAINT BRUSH 2''",", "
46808   ,,"RITZ PAINT",36,"Maintenance-Inventory",1.25,45,"2023-01-05 00:00:00",,"30-00210        ","Paint,Brush 3",", "
46816   ,,"CROWN JANITORIAL",70,"Maintenance-Inventory",26.64,1864.8,"2023-01-05 00:00:00","01/13/2023 00:00:00","40-00450        ","Bags, Recycle Clear 55 Gallon",", "
46816   ,,"CROWN JANITORIAL",70,"Maintenance-Inventory",45.99,3219.3,"2023-01-05 00:00:00","01/13/2023 00:00:00","40-00700        ","Bags, Garbage 48 XXH Large",", "
46816   ,,"CROWN JANITORIAL",28,"Maintenance-Inventory",25.74,720.72,"2023-01-05 00:00:00","01/13/2023 00:00:00","40-03850        ","Bleach, 1 gallon",", "
46816   ,,"CROWN JANITORIAL",10,"Maintenance-Inventory",72.03,720.3,"2023-01-05 00:00:00","01/13/2023 00:00:00","40-04850        ","Gloves, nitrile (Disposable) 100pc XL",", "
46816   ,,"CROWN JANITORIAL",11,"Maintenance-Inventory",41.67,458.37,"2023-01-05 00:00:00","01/13/2023 00:00:00","40-04275        ","Cherry Block Deodorant 20LB",", "
46816   ,,"CROWN JANITORIAL",48,"Maintenance-Inventory",3.37,161.76,"2023-01-05 00:00:00","01/13/2023 00:00:00","40-05900        ","Mop, Head 24 oz",", "
46816   ,,"CROWN JANITORIAL",3,"Maintenance-Inventory",85.92,257.76,"2023-01-05 00:00:00","01/13/2023 00:00:00","40-05610        ","LYNX SPRAY CAN DISINFECTANT 17 OZ.",", "
46817   ,,"Century Maintenance",5,"Maintenance-Inventory",76.49,382.45,"2023-01-05 00:00:00","01/06/2023 00:00:00","10-00450        ","SLAB DOOR - 24X80",", "
46817   ,,"Century Maintenance",5,"Maintenance-Inventory",94.49,472.45,"2023-01-05 00:00:00","01/06/2023 00:00:00","10-00915        ","SLAB DOOR - 36X80

SEE ITEM # 10-00950",", "
46817   ,,"Century Maintenance",5,"Maintenance-Inventory",179.99,899.95,"2023-01-05 00:00:00","01/06/2023 00:00:00","10-00400        ","Pre hung door, 24x80",", "
