WONumber,Category,BriefDesc,ItemCode,ItemDesc,Qty,UnitPrice,TotalAmt,CompleteDate,ExpenseType,Client,Vendor
460934,"APH-Plumbing","3531-27-plumbing radiator          ","35-01200        ","Radiator,angle valve 1",1,14.09,14.09,"2023-11-25 19:50:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 485 JACKSON AVENUE","ALLTYPE MAINTENANCE CORP."
460934,"APH-Plumbing","3531-27-plumbing radiator          ","35-01390        ","Shut Off Valves 1/2"" x 3/8"" Angle",1,6.7,6.7,"2023-11-25 19:50:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 485 JACKSON AVENUE","ALLTYPE MAINTENANCE CORP."
460934,"APH-Plumbing","3531-27-plumbing radiator          ","40-07100        ","Tape, Teflon",1,1.25,1.25,"2023-11-25 19:50:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 485 JACKSON AVENUE","ALLTYPE MAINTENANCE CORP."
460934,"APH-Plumbing","3531-27-plumbing radiator          ","35-00251        ","Terry Wipes (Rags)",1,13.5,13.5,"2023-11-25 19:50:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 485 JACKSON AVENUE","ALLTYPE MAINTENANCE CORP."
468514,"Supplies","1702-3B-CABINETS                   ","05-02200        ","Countertop 78",1,419.3,419.3,"2023-09-13 14:26:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468514,"Supplies","1702-3B-CABINETS                   ","05-02575        ","Sink Base 27",1,326.7,326.7,"2023-09-13 14:26:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468514,"Supplies","1702-3B-CABINETS                   ","05-00400        ","Base Cabinet 24",2,303.6,607.2,"2023-09-13 14:26:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468514,"Supplies","1702-3B-CABINETS                   ","05-01250        ","Countertop 27",1,191.45,191.45,"2023-09-13 14:26:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468514,"Supplies","1702-3B-CABINETS                   ","05-00450        ","Base Cabinet 27",1,370.3,370.3,"2023-09-13 14:26:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468514,"Supplies","1702-3B-CABINETS                   ","05-04500        ","Wall Cab 42/30",1,346.15,346.15,"2023-09-13 14:26:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468514,"Supplies","1702-3B-CABINETS                   ","05-04100        ","Wall Cab 30/30",1,274.85,274.85,"2023-09-13 14:26:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468514,"Supplies","1702-3B-CABINETS                   ","05-02530        ","Toe Kick",2,59.4,118.8,"2023-09-13 14:26:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468514,"Supplies","1702-3B-CABINETS                   ","05-02550        ","Filler 3x84",1,116.1,116.1,"2023-09-13 14:26:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468516,"Supplies","1702-3B-SUPPLIES                   ","35-01400        ","Sink, Stainless Steel 25",1,66,66,"2023-09-22 11:00:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468516,"Supplies","1702-3B-SUPPLIES                   ","35-00600        ","Kitchen Deck Faucet 42-406",1,161.33,161.33,"2023-09-22 11:00:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468516,"Supplies","1702-3B-SUPPLIES                   ","35-00200        ","Duo Strainers",1,14,14,"2023-09-22 11:00:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468516,"Supplies","1702-3B-SUPPLIES                   ","35-01101        ","P TRAP KITCHEN",1,23.31,23.31,"2023-09-22 11:00:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468516,"Supplies","1702-3B-SUPPLIES                   ","35-01951        ","Tailpiece, 1 1/2 x 12 RB flange",1,9,9,"2023-09-22 11:00:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468516,"Supplies","1702-3B-SUPPLIES                   ","35-01550        ","Speedy Conn., flex 36",2,6.08,12.16,"2023-09-22 11:00:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
468516,"Supplies","1702-3B-SUPPLIES                   ","35-01087        ","Pipe Elbow 90, 24",1,13.5,13.5,"2023-09-22 11:00:00","Payables","PROSPECT DEVELOPMENT GROUP L.P, 1414 PROSPECT AVENUE","ALLTYPE MAINTENANCE CORP."
469175,"Supplies","5033-35-KITCHEN FAUCET             ","35-00600        ","Kitchen Deck Faucet 42-406",1,161.33,161.33,"2023-10-09 14:33:00","","RIVULET ROW ASSOCIATES LLC, 545 ACADEMY STREET","Century Maintenance"
472510,"Supplies","1182/apt52/Cabinets                ","05-04420        ","Wall Cabinet 36/18",1,212.75,212.75,"2023-09-19 09:27:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
472510,"Supplies","1182/apt52/Cabinets                ","05-04000        ","Wall Cab 30/18",1,192.05,192.05,"2023-09-19 09:27:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
472510,"Supplies","1182/apt52/Cabinets                ","05-03400        ","Wall cab 18/30",1,184,184,"2023-09-19 09:27:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
472510,"Supplies","1182/apt52/Cabinets                ","05-04400        ","Wall Cab 36/30",1,305.9,305.9,"2023-09-19 09:27:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
472510,"Supplies","1182/apt52/Cabinets                ","05-04100        ","Wall Cab 30/30",2,274.85,549.7,"2023-09-19 09:27:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
472510,"Supplies","1182/apt52/Cabinets                ","05-00250        ","Base Cabinet 15",1,246.1,246.1,"2023-09-19 09:27:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
472510,"Supplies","1182/apt52/Cabinets                ","05-00500        ","Base Cabinet 30",1,389.85,389.85,"2023-09-19 09:27:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
472510,"Supplies","1182/apt52/Cabinets                ","05-00300        ","Base Cabinet 18",1,264.5,264.5,"2023-09-19 09:27:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
472510,"Supplies","1182/apt52/Cabinets                ","05-03100        ","Sink Base 48",1,467.1,467.1,"2023-09-19 09:27:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
