WONumber,BuildingNum,AptNum,JobStatus,Category,CallDate,StartDate,SchedDate,BatchID,BatchDate,CompleteDate,Employee,BriefDesc,Quantity,Code,FullDesc,UnitPrice,PayAmt,woBatchOccuredDate,PostedMonth
463099,1705,"2D","Work Completed","Repairs","2023-02-02 13:09:52",,"2023-02-22 13:09:00",1600031227,"2024-03-08 12:46:42","2024-02-22 13:47:00",,"1705-2d-3 year paint               ",1,279             ,"Prime bathroom with mildew resistant primer",175,175,"2024-02-29 00:00:00","2024-02"
463099,1705,"2D","Work Completed","Repairs","2023-02-02 13:09:52",,"2023-02-22 13:09:00",1600031227,"2024-03-08 12:46:42","2024-02-22 13:47:00",,"1705-2d-3 year paint               ",3,800             ,"PER ROOM  Scrape, Plaster, Paint the complete apartment with BEIGE paint (hallway/bathroom/kitchen/bedroom/living room)",325,975,"2024-02-29 00:00:00","2024-02"
474784,500,"440-3F","Work Completed","Repairs","2023-08-14 12:35:52",,"2023-12-28 12:35:00",1600030958,"2024-01-18 14:01:31","2023-12-28 10:18:00",,"500-440-3F-PAINT JOB               ",1,290             ,"Regrout & recaulk bathtub tile area",215,215,,
474784,500,"440-3F","Work Completed","Repairs","2023-08-14 12:35:52",,"2023-12-28 12:35:00",1600030958,"2024-01-18 14:01:31","2023-12-28 10:18:00",,"500-440-3F-PAINT JOB               ",1,279             ,"Prime bathroom with mildew resistant primer",175,175,,
478488,1705,"4C","Work Completed","Repairs","2023-10-11 10:08:28",,"2023-12-26 10:08:00",1600031047,"2024-02-06 18:08:22","2023-12-26 15:41:00",,"1705-4C-REPAIR                     ",1,002             ,"ADD'L WORK NEEDED",763,763,"2024-01-31 00:00:00","2024-01"
463099,1705,"2D","Work Completed","Repairs","2023-02-02 13:09:52",,"2023-02-22 13:09:00",1600031227,"2024-03-08 12:46:42","2024-02-22 13:47:00",,"1705-2d-3 year paint               ",3,805             ,"Two coats are required, per room",150,450,"2024-02-29 00:00:00","2024-02"
487220,3014,503,"Canceled","Supplies","2024-02-14 09:21:51",,"2024-02-14 09:21:00",0,,,,"3014-503-supplies                  ",2,"35-01085        ","Pipe Elbow 90, 12",9.25,18.5,,
486753,3524,"5D","Call","Repairs","2024-02-08 08:42:06",,,0,,,,"3524/5D/VAC/CABINETS               ",1,"05-03400        ","Wall cab 18/30",184,184,,
486753,3524,"5D","Call","Repairs","2024-02-08 08:42:06",,,0,,,,"3524/5D/VAC/CABINETS               ",1,"05-00300        ","Base Cabinet 18",264.5,264.5,,
486753,3524,"5D","Call","Repairs","2024-02-08 08:42:06",,,0,,,,"3524/5D/VAC/CABINETS               ",1,"05-04301        ","Wall Cab 33/18",207,207,,
486753,3524,"5D","Call","Repairs","2024-02-08 08:42:06",,,0,,,,"3524/5D/VAC/CABINETS               ",1,"05-04850        ","Blind Wall Cabinet BLW36/3930",284.05,284.05,,
486753,3524,"5D","Call","Repairs","2024-02-08 08:42:06",,,0,,,,"3524/5D/VAC/CABINETS               ",1,"05-00920        ","Blind Base Cabinet BLB 39/42",378,378,,
486753,3524,"5D","Call","Repairs","2024-02-08 08:42:06",,,0,,,,"3524/5D/VAC/CABINETS               ",1,"05-03000        ","Sink Base 42",426.6,426.6,,
481722,1182,"BLDG","Work Completed","Repairs","2023-11-27 09:09:27",,"2023-12-21 09:09:00",1600031047,"2024-02-06 18:08:22","2023-12-21 14:59:00",,"1182-BLDG-CEILING REPAIR           ",1,,"DID NOT S/P/P ENTRANCE HALLWAY CEILING",-135,-135,"2024-01-31 00:00:00","2024-01"
481722,1182,"BLDG","Work Completed","Repairs","2023-11-27 09:09:27",,"2023-12-21 09:09:00",1600031047,"2024-02-06 18:08:22","2023-12-21 14:59:00",,"1182-BLDG-CEILING REPAIR           ",1,002             ,"ADD'L WORK NEEDED",540,540,"2024-01-31 00:00:00","2024-01"
486749,3503,"BLDG","Work Completed","Supplies","2024-02-07 16:01:31",,"2024-02-07 16:01:00",1600031117,"2024-02-16 15:57:35","2024-02-08 16:39:00",,"3503-BLDG-SUPPLIES                 ",1,"40-05560        ","Lobby Dust Pan ( black )",22.95,22.95,"2024-01-31 00:00:00","2024-01"
484239,2060,"2062-3N","Work Completed","APH-Plumbing","2024-01-04 09:26:29",,"2024-01-04 09:26:00",1600031118,"2024-02-16 15:59:24","2024-02-13 21:37:00",,"2062-3N- kitchen faucet            ",1,"35-00251        ","Terry Wipes (Rags)",13.5,13.5,"2024-01-31 00:00:00","2024-01"
484239,2060,"2062-3N","Work Completed","APH-Plumbing","2024-01-04 09:26:29",,"2024-01-04 09:26:00",1600031118,"2024-02-16 15:59:24","2024-02-13 21:37:00",,"2062-3N- kitchen faucet            ",1,"10-00200        ","LATEX CAULKING 1 TUBE",3,3,"2024-01-31 00:00:00","2024-01"
484749,1081,"2F","Work Completed","APH-Plumbing","2024-01-10 14:22:47",,"2024-01-10 14:22:00",1600031118,"2024-02-16 15:59:24","2024-02-13 21:51:00",,"1081-2F-PLUMBING                   ",1,"36-01550        ","4x2 quickset NH Flange       FNHff4020",29.97,29.97,"2024-01-31 00:00:00","2024-01"
484749,1081,"2F","Work Completed","APH-Plumbing","2024-01-10 14:22:47",,"2024-01-10 14:22:00",1600031118,"2024-02-16 15:59:24","2024-02-13 21:51:00",,"1081-2F-PLUMBING                   ",1,"36-00550        ","11/4X6 CP SLIP ELL       TUCSLC1260",19.58,19.58,"2024-01-31 00:00:00","2024-01"
484749,1081,"2F","Work Completed","APH-Plumbing","2024-01-10 14:22:47",,"2024-01-10 14:22:00",1600031118,"2024-02-16 15:59:24","2024-02-13 21:51:00",,"1081-2F-PLUMBING                   ",1,"aph_plumbing    ","APH PLUMBING SERVICES",846.6,846.6,"2024-01-31 00:00:00","2024-01"
484753,3655,"3655-7","Work Completed","APH-Plumbing","2024-01-10 14:54:04",,"2024-01-10 14:54:00",1600031118,"2024-02-16 15:59:24","2024-01-16 07:46:00",,"3655-7-PLUMBING                    ",1,"35-00600        ","Kitchen Deck Faucet 42-406",55,55,"2024-01-31 00:00:00","2024-01"
