WONumber,JObStatus,Category,CompleteDate,CallDate,SchedDate,BatchID,BriefDesc,ExpenseType,yardiCreateDate,yardiUpdatedDate
341073,"Canceled","Repairs",,"2017-10-27 09:12:00",,0,"3006-5C-3 Year paint/Floor         ","","2017-10-27 00:00:00","2023-08-30 12:18:45"
374535,"Canceled","Supplies",,"2019-03-28 09:19:00","04/01/2019 10:22:00",0,"1442-6E-Supplies                   ","","2019-03-28 00:00:00","2023-08-30 14:48:27"
375420,"Canceled","Repairs",,"2019-04-09 15:43:00","04/10/2019 09:16:00",0,"1711-1D-Kitchen cabinets/counter   ","","2019-04-09 00:00:00","2023-08-30 15:09:21"
376172,"Canceled","Supplies",,"2019-04-22 15:49:18",,0,"3005-2A-Vacancy supplies           ","","2019-04-22 00:00:00","2023-08-30 12:13:01"
376600,"Canceled","Supplies",,"2019-04-29 10:45:27","04/29/2019 10:45:00",0,"3006/6C/CABINETS                   ","","2019-04-29 00:00:00","2023-08-30 12:23:22"
376725,"Canceled","Repairs",,"2019-04-30 15:17:57",,0,"1711-4H-3yr paint/ repairs         ","","2019-04-30 00:00:00","2023-08-30 15:09:26"
376753,"Canceled","Repairs",,"2019-04-30 16:43:02",,0,"1711-5H-3yr paint                  ","","2019-04-30 00:00:00","2023-08-30 15:09:39"
376798,"Canceled","Repairs",,"2019-05-01 14:40:50",,0,"1711-1F-3yr Paint                  ","","2019-05-01 00:00:00","2023-08-30 15:09:48"
376809,"Canceled","Repairs",,"2019-05-01 15:10:45",,0,"1711-4A-3yr Paint                  ","","2019-05-01 00:00:00","2023-08-30 15:10:04"
376818,"Canceled","Repairs",,"2019-05-01 16:17:16",,0,"1712-6C-Counters/cabinets          ","","2019-05-01 00:00:00","2023-08-30 15:22:32"
376819,"Canceled","Repairs",,"2019-05-01 16:19:55",,0,"1712-6C-3yr Paint                  ","","2019-05-01 00:00:00","2023-08-30 15:22:37"
376909,"Canceled","Repairs",,"2019-05-02 15:52:54",,0,"1712-3G-3yr Paint                  ","","2019-05-02 00:00:00","2023-08-30 15:22:47"
376914,"Canceled","Repairs",,"2019-05-02 15:58:30",,0,"1712-3C-3YR PAINT                  ","","2019-05-02 00:00:00","2023-08-30 15:22:52"
376916,"Canceled","Supplies",,"2019-05-02 16:02:02",,0,"1712-5A-COUNTER TOPS               ","","2019-05-02 00:00:00","2023-08-30 15:22:58"
376919,"Canceled","Supplies",,"2019-05-02 16:56:30",,0,"1712-4A-REPAIR SUPPLIES            ","","2019-05-02 00:00:00","2023-08-30 15:23:07"
377959,"Canceled","Repairs",,"2019-05-20 11:54:44",,0,"3007--BLDG--Boiler                 ","","2019-05-20 00:00:00","2023-08-30 12:42:37"
378419,"Canceled","Supplies",,"2019-05-28 12:43:51",,0,"1002-bldg supplies                 ","","2019-05-28 00:00:00","2023-08-30 11:19:09"
379568,"Canceled","Supplies",,"2019-06-13 13:06:40",,0,"1002-3b                            ","","2019-06-13 00:00:00","2023-08-30 11:19:28"
379569,"Canceled","Supplies",,"2019-06-13 13:09:41",,0,"1002-3b                            ","","2019-06-13 00:00:00","2023-08-30 11:19:35"
379582,"Canceled","Supplies",,"2019-06-13 14:29:19",,0,"1002-3c supplies                   ","","2019-06-13 00:00:00","2023-08-30 11:19:57"
382926,"Canceled","Repairs",,"2019-08-07 11:15:11",,0,"1442/5B/vac /repairs               ","Payables","2019-08-07 00:00:00","2023-08-30 14:50:07"
385863,"Canceled","Supplies",,"2019-09-23 13:55:07",,0,"1442- 3d- supplies                 ","Payables","2019-09-23 00:00:00","2023-08-30 14:51:21"
386041,"Canceled","Supplies",,"2019-09-25 14:15:35",,0,"1712-4E-Cabinets/counters          ","Payables","2019-09-25 00:00:00","2023-08-30 15:23:57"
388583,"Canceled","Supplies",,"2019-11-01 10:23:11",,0,"1442-2B-VACANCY SUPPLIES           ","Payables","2019-11-01 00:00:00","2023-08-30 14:51:39"
389383,"In Progress","Oil",,"2019-11-13 10:13:22",,0,"1365 - OUTDOOR SENSOR              ","Payables","2019-11-13 00:00:00","2023-09-19 10:56:40"
390489,"Canceled","Supplies",,"2019-11-27 11:50:39",,0,"3005-BLDG-All building sign        ","Payables","2019-11-27 00:00:00","2023-08-30 12:14:39"
407824,"Canceled","Supplies",,"2020-08-31 08:27:46",,0,"1712-6E Supplies/Annual Insp       ","Payables","2020-08-31 00:00:00","2023-08-30 15:27:48"
410026,"Canceled","Violation",,"2020-10-06 10:33:57",,0,"3006-5A Door/Violation             ","Payables","2020-10-06 00:00:00","2023-08-30 12:27:51"
410407,"Canceled","Repairs",,"2020-10-13 09:51:28","10/13/2020 09:51:00",0,"1711-bldg-boiler pump              ","Payables","2020-10-13 00:00:00","2023-08-30 15:11:37"
410969,"Canceled","Repairs",,"2020-10-21 08:02:36",,0,"3006-5B Door Repair/HPD            ","Payables","2020-10-21 00:00:00","2023-08-30 12:28:01"
413029,"Canceled","Plumbing",,"2020-11-23 13:56:51","11/23/2020 13:56:00",0,"1712-BLDG- HEATER PUMP             ","Payables","2020-11-23 00:00:00","2023-08-30 15:29:01"
414929,"Canceled","Repairs",,"2020-12-22 11:52:35","12/22/2020 11:52:00",0,"1711-BLDG- EXPANSION TANK          ","Payables","2020-12-22 00:00:00","2023-08-30 15:13:17"
421891,"Canceled","Repairs",,"2021-04-16 13:39:08",,0,"1095 - 5E - 3 year paint           ","Payables","2021-04-16 00:00:00","2023-08-30 11:21:23"
432406,"Canceled","Repairs",,"2021-10-01 08:46:08",,0,"1022 - 1L - Post Plbg Ba ceiling   ","Payables","2021-10-01 00:00:00","2023-11-07 13:09:03"
432793,"Work Completed","Repairs","09/26/2023 14:56:00","2021-10-07 09:16:05","09/26/2023 13:53:00",1600030373,"1440-2F-annual-paint areas-9-18-23 ","Payables","2021-10-07 00:00:00","2023-10-17 14:59:20"
