WONumber,Category,BriefDesc,ItemCode,ItemDesc,Qty,UnitPrice,TotalAmt,CompleteDate,ExpenseType,Client,Vendor
477339,"Supplies","1182/C/VAC/CABINETS                ","05-04600m       ","Wall Cab 48/30 w/ Measurements                         4830",1,440.1,440.1,"2024-02-05 11:05:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
477339,"Supplies","1182/C/VAC/CABINETS                ","05-02530        ","Toe Kick",1,68.4,68.4,"2024-02-05 11:05:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
477339,"Supplies","1182/C/VAC/CABINETS                ","05-03100        ","Sink Base 48",1,537.2,537.2,"2024-02-05 11:05:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
477339,"Supplies","1182/C/VAC/CABINETS                ","05-01650        ","Countertop 48",1,282.2,282.2,"2024-02-05 11:05:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
477339,"Supplies","1182/C/VAC/CABINETS                ","05-04100m       ","Wall Cab 30/30 w/ Measurements                         3030",1,322.65,322.65,"2024-02-05 11:05:00","Payables","83 POST AVENUE ASSOCIATES LLC, 685 ACADEMY STREET","ALLTYPE MAINTENANCE CORP."
478339,"Supplies","1027/4G/VAC/CABINETS               ","05-03950m       ","Wall Cab 30/15 w/ Measurements                         3015",1,209.25,209.25,"2024-01-30 12:04:00","Payables","11-19 JACOBUS ASSOCIATES, LLC, 15 JACOBUS PL","ALLTYPE MAINTENANCE CORP."
478339,"Supplies","1027/4G/VAC/CABINETS               ","05-03900m       ","Wall Cab 30/12 w/ Measurements                         3012",1,191.7,191.7,"2024-01-30 12:04:00","Payables","11-19 JACOBUS ASSOCIATES, LLC, 15 JACOBUS PL","ALLTYPE MAINTENANCE CORP."
478339,"Supplies","1027/4G/VAC/CABINETS               ","05-02530        ","Toe Kick",1,59.4,59.4,"2024-01-30 12:04:00","Payables","11-19 JACOBUS ASSOCIATES, LLC, 15 JACOBUS PL","ALLTYPE MAINTENANCE CORP."
478339,"Supplies","1027/4G/VAC/CABINETS               ","05-02100        ","Countertop 72",1,361.3,361.3,"2024-01-30 12:04:00","Payables","11-19 JACOBUS ASSOCIATES, LLC, 15 JACOBUS PL","ALLTYPE MAINTENANCE CORP."
478339,"Supplies","1027/4G/VAC/CABINETS               ","05-02800m       ","Sink Base 36 w/ Measurement",1,409.05,409.05,"2024-01-30 12:04:00","Payables","11-19 JACOBUS ASSOCIATES, LLC, 15 JACOBUS PL","ALLTYPE MAINTENANCE CORP."
478339,"Supplies","1027/4G/VAC/CABINETS               ","05-00700m       ","Base Cabinet 36 w/ Measurements                         B36",1,504.9,504.9,"2024-01-30 12:04:00","Payables","11-19 JACOBUS ASSOCIATES, LLC, 15 JACOBUS PL","ALLTYPE MAINTENANCE CORP."
479499,"Supplies","3522-4C-SUPPLIES                   ","35-00700        ","Bathroom Deck Faucet 43-431",1,147.83,147.83,"2024-01-19 16:25:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 353 CYPRESS AVENUE","ALLTYPE MAINTENANCE CORP."
479499,"Supplies","3522-4C-SUPPLIES                   ","35-01500        ","Speedy Conn., flex 20",2,3.95,7.9,"2024-01-19 16:25:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 353 CYPRESS AVENUE","ALLTYPE MAINTENANCE CORP."
479546,"APH-Boiler","3509 - BOILER CLEANING & OVERHAUL  ","35-00470        ","Pilot",1,123.8,123.8,"2024-02-03 15:04:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 630 COURTLANDT AVENUE","ALLTYPE MAINTENANCE CORP."
479546,"APH-Boiler","3509 - BOILER CLEANING & OVERHAUL  ","35-00460        ","Sensor Pilot",1,67.5,67.5,"2024-02-03 15:04:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 630 COURTLANDT AVENUE","ALLTYPE MAINTENANCE CORP."
479546,"APH-Boiler","3509 - BOILER CLEANING & OVERHAUL  ","35-0020         ","Ignition Spark Wire",1,58.86,58.86,"2024-02-03 15:04:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 630 COURTLANDT AVENUE","ALLTYPE MAINTENANCE CORP."
479546,"APH-Boiler","3509 - BOILER CLEANING & OVERHAUL  ","35-00290        ","Spray Cans",4,18,72,"2024-02-03 15:04:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 630 COURTLANDT AVENUE","ALLTYPE MAINTENANCE CORP."
479546,"APH-Boiler","3509 - BOILER CLEANING & OVERHAUL  ","35-00257        ","32oz Degreaser Spray Nine",1,18,18,"2024-02-03 15:04:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 630 COURTLANDT AVENUE","ALLTYPE MAINTENANCE CORP."
479547,"APH-Boiler","3510 - BOILER CLEANING & OVERHAUL  ","35-00470        ","Pilot",1,123.8,123.8,"2024-01-17 15:10:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 356 E 152ND ST","ALLTYPE MAINTENANCE CORP."
479547,"APH-Boiler","3510 - BOILER CLEANING & OVERHAUL  ","35-00460        ","Sensor Pilot",1,67.5,67.5,"2024-01-17 15:10:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 356 E 152ND ST","ALLTYPE MAINTENANCE CORP."
479547,"APH-Boiler","3510 - BOILER CLEANING & OVERHAUL  ","35-0020         ","Ignition Spark Wire",1,58.86,58.86,"2024-01-17 15:10:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 356 E 152ND ST","ALLTYPE MAINTENANCE CORP."
479548,"APH-Boiler","3516  - BOILER CLEANING & OVERHAUL ","35-00257        ","32oz Degreaser Spray Nine",1,18,18,"2024-02-03 15:00:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 623 COURTLANDT AVENUE","ALLTYPE MAINTENANCE CORP."
479548,"APH-Boiler","3516  - BOILER CLEANING & OVERHAUL ","35-00460        ","Sensor Pilot",1,67.5,67.5,"2024-02-03 15:00:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 623 COURTLANDT AVENUE","ALLTYPE MAINTENANCE CORP."
479548,"APH-Boiler","3516  - BOILER CLEANING & OVERHAUL ","35-00470        ","Pilot",1,123.8,123.8,"2024-02-03 15:00:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 623 COURTLANDT AVENUE","ALLTYPE MAINTENANCE CORP."
479548,"APH-Boiler","3516  - BOILER CLEANING & OVERHAUL ","35-0020         ","Ignition Spark Wire",1,58.86,58.86,"2024-02-03 15:00:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 623 COURTLANDT AVENUE","ALLTYPE MAINTENANCE CORP."
479548,"APH-Boiler","3516  - BOILER CLEANING & OVERHAUL ","35-00290        ","Spray Cans",4,18,72,"2024-02-03 15:00:00","Payables","SOUTH BRONX COMMUNITY LEMLE WOLFF LLC, 623 COURTLANDT AVENUE","ALLTYPE MAINTENANCE CORP."
480945,"Supplies","1028/3B/VAC/CABINETS               ","05-01500m       ","Countertop 36 w/ MEASUREMENTS",1,183,183,"2024-01-30 12:01:00","Payables","9-15 ADRIAN ASSOC. LLC, 9-15 ADRIAN AVENUE","ALLTYPE MAINTENANCE CORP."
480945,"Supplies","1028/3B/VAC/CABINETS               ","05-02800m       ","Sink Base 36 w/ Measurement",1,409.05,409.05,"2024-01-30 12:01:00","Payables","9-15 ADRIAN ASSOC. LLC, 9-15 ADRIAN AVENUE","ALLTYPE MAINTENANCE CORP."
480945,"Supplies","1028/3B/VAC/CABINETS               ","05-04400m       ","Wall Cab 36/30 w/ Measurements                         3630",1,359.1,359.1,"2024-01-30 12:01:00","Payables","9-15 ADRIAN ASSOC. LLC, 9-15 ADRIAN AVENUE","ALLTYPE MAINTENANCE CORP."
480945,"Supplies","1028/3B/VAC/CABINETS               ","05-02530        ","Toe Kick",1,59.4,59.4,"2024-01-30 12:01:00","Payables","9-15 ADRIAN ASSOC. LLC, 9-15 ADRIAN AVENUE","ALLTYPE MAINTENANCE CORP."
