PONumber,WONumber,Vendor,QtyOrdered,ExpenseType,UnitPrice,TotalCost,OrderDate,ReceivedDate,ItemCode,ItemDesc,Client
49257   ,,"F&F HARDWARE AND SUPPLY. INC.",24,"CoOp-Inventory",49.5,1188,"2024-01-02 00:00:00","2024-01-10 00:00:00","40-04225        ","Carbon Monoxide Detectors/Smoke Detector Combo 10 Year",", "
49257   ,,"F&F HARDWARE AND SUPPLY. INC.",4,"CoOp-Inventory",125,500,"2024-01-02 00:00:00","2024-01-10 00:00:00","50-02600        ","Tile, VCT 1/8
TARKETT #1824 'SAND CASTLE'",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",8,"Maintenance-Inventory",37.98,303.84,"2024-01-02 00:00:00","2024-01-12 00:00:00","30-01900        ","Primer, KILZ Mold & Mildew",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",36,"Maintenance-Inventory",8.98,323.28,"2024-01-02 00:00:00","2024-01-12 00:00:00","10-00200        ","LATEX CAULKING 1 TUBE",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",8,"Maintenance-Inventory",59.98,479.84,"2024-01-02 00:00:00","2024-01-19 00:00:00","30-00800        ","Paint, Primer all-in-all  1 gallon",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",4,"Maintenance-Inventory",131,524,"2024-01-02 00:00:00","2024-01-19 00:00:00","10-00400        ","Pre hung door, 24x80",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",4,"Maintenance-Inventory",131.13,524.52,"2024-01-02 00:00:00","2024-01-19 00:00:00","10-00600        ","Pre hung door, 30 x80",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",1,"Maintenance-Inventory",146,146,"2024-01-02 00:00:00","2024-01-19 00:00:00","10-00700        ","Pre hung door 32x80",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",3,"Maintenance-Inventory",56.46,169.38,"2024-01-02 00:00:00","2024-01-19 00:00:00","10-00380        ","DOOR 18 X 80 SLAB",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",3,"Maintenance-Inventory",55.92,167.76,"2024-01-02 00:00:00","2024-01-19 00:00:00","10-00450        ","SLAB DOOR - 24X80",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",4,"Maintenance-Inventory",76.46,305.84,"2024-01-02 00:00:00","2024-01-19 00:00:00","10-00750        ","SLAB DOOR - 32X80",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",20,"Maintenance-Inventory",3.6,72,"2024-01-02 00:00:00","2024-01-12 00:00:00","40-04851        ","Gloves, Work Leather",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",10,"Maintenance-Inventory",3.85,38.5,"2024-01-02 00:00:00","2024-01-10 00:00:00","10-04500        ","Stud, Wood 2x4x10",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",8,"Maintenance-Inventory",2.46,19.68,"2024-01-02 00:00:00","2024-01-10 00:00:00","10-04400        ","Studs, Wood 1x3x10",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",8,"Maintenance-Inventory",10.63,85.04,"2024-01-02 00:00:00","2024-01-19 00:00:00","50-02500        ","Tile, Towel Bar (complete)",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",8,"Maintenance-Inventory",25.83,206.64,"2024-01-02 00:00:00","2024-01-19 00:00:00","10-04700        ","Stud,Wood 1 x 12 x 8",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",25,"Maintenance-Inventory",9.86,246.5,"2024-01-02 00:00:00","2024-01-10 00:00:00","50-00500        ","Sheetrock, Wonderboard",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",6,"Maintenance-Inventory",24.05,144.3,"2024-01-02 00:00:00","2024-01-19 00:00:00","50-00660        ","THINSET- KWIKSET rapid set 25 LB BAG",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",8,"Maintenance-Inventory",16.18,129.44,"2024-01-02 00:00:00","2024-01-12 00:00:00","50-00300        ","Grout, Wall  (10 lb Bags)",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",8,"Maintenance-Inventory",80.1,640.8,"2024-01-02 00:00:00","2024-01-19 00:00:00","35-00050        ","DELTA SINGLE LEVER BATH FAUCET includes speedy connect #520 MPU-DST",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",50,"Maintenance-Inventory",8.76,438,"2024-01-02 00:00:00","2024-01-10 00:00:00","10-01800        ","Lock, Passage",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",6,"Maintenance-Inventory",68.18,409.08,"2024-01-02 00:00:00","2024-01-12 00:00:00","50-02600        ","Tile, VCT 1/8
TARKETT #1824 'SAND CASTLE'",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",3,"Maintenance-Inventory",212,636,"2024-01-02 00:00:00","2024-01-12 00:00:00","30-00450        ","Paint, Battleship Grey 5 Gal.",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",-4,"Maintenance-Inventory",131.13,-524.52,"2024-01-02 00:00:00","2024-01-24 00:00:00","10-00600        ","Pre hung door, 30 x80",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",-4,"Maintenance-Inventory",131,-524,"2024-01-02 00:00:00","2024-01-24 00:00:00","10-00400        ","Pre hung door, 24x80",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",-3,"Maintenance-Inventory",55.92,-167.76,"2024-01-02 00:00:00","2024-01-24 00:00:00","10-00450        ","SLAB DOOR - 24X80",", "
49258   ,,"HOME DEPOT CREDIT SERVICES",-8,"Maintenance-Inventory",25.83,-206.64,"2024-01-02 00:00:00",,"10-04700        ","Stud,Wood 1 x 12 x 8",", "
49275   ,,"RITZ PAINT",14,"Maintenance-Inventory",120,1680,"2024-01-04 00:00:00","2024-01-04 00:00:00","30-00400        ","Paint, #160 5 gallon (white)",", "
49275   ,,"RITZ PAINT",6,"Maintenance-Inventory",48,288,"2024-01-04 00:00:00","2024-01-04 00:00:00","30-00300        ","Paint,#160 2 gallon (white)",", "
49275   ,,"RITZ PAINT",4,"Maintenance-Inventory",48,192,"2024-01-04 00:00:00","2024-01-04 00:00:00","30-00500        ","Paint, BEIGE 2 gallon",", "
49275   ,,"RITZ PAINT",6,"Maintenance-Inventory",120,720,"2024-01-04 00:00:00","2024-01-04 00:00:00","30-00600        ","Paint, BEIGE 5 gallon",", "
49275   ,,"RITZ PAINT",1,"Maintenance-Inventory",54.95,54.95,"2024-01-04 00:00:00","2024-01-04 00:00:00","30-00800        ","Paint, Primer all-in-all  1 gallon",", "
49275   ,,"RITZ PAINT",10,"Maintenance-Inventory",30,300,"2024-01-04 00:00:00","2024-01-04 00:00:00","30-00220        ","Paint, Navajo White 5 Gal",", "
49275   ,,"RITZ PAINT",1,"Maintenance-Inventory",7.95,7.95,"2024-01-04 00:00:00","2024-01-04 00:00:00","10-02500        ","NAILS-SPIRAL, FLOORING  7D",", "
49275   ,,"RITZ PAINT",24,"Maintenance-Inventory",4,96,"2024-01-04 00:00:00","2024-01-04 00:00:00","10-00200        ","LATEX CAULKING 1 TUBE",", "
49276   ,,"RITZ PAINT",5,"Maintenance-Inventory",13.95,69.75,"2024-01-04 00:00:00","2024-01-02 00:00:00","50-00125        ","CEMENT/SAND MIX 80LB",", "
49299   ,,"G-Rock Handcovers, Inc",55,"CoOp-Inventory",16,880,"2024-01-08 00:00:00","2024-01-24 00:00:00","40-06150        ","Rock Salt 50lbs",", "
49304   ,,"Century Maintenance",1,"Maintenance-Inventory",26.09,26.09,"2024-01-09 00:00:00","2024-01-09 00:00:00","30-00100        ","Compound, joint 5 gallon",", "
49304   ,,"Century Maintenance",2,"Maintenance-Inventory",85.49,170.98,"2024-01-09 00:00:00","2024-01-09 00:00:00","10-00750        ","SLAB DOOR - 32X80",", "
49304   ,,"Century Maintenance",12,"Maintenance-Inventory",9.89,118.68,"2024-01-09 00:00:00","2024-01-09 00:00:00","40-04250        ","Caulking, Bathroom Silicone (white)",", "
49311   ,,"Century Maintenance",10,"Maintenance-Inventory",6.29,62.9,"2024-01-10 00:00:00","2024-01-10 00:00:00","10-04920        ","METAL TRACK 1 5/8''",", "
49311   ,,"Century Maintenance",10,"Maintenance-Inventory",6.29,62.9,"2024-01-10 00:00:00","2024-01-10 00:00:00","10-04920        ","METAL TRACK 1 5/8''",", "
49311   ,,"Century Maintenance",1,"Maintenance-Inventory",189,189,"2024-01-10 00:00:00","2024-01-10 00:00:00","10-00600        ","Pre hung door, 30 x80",", "
49354   ,,"RITZ PAINT",36,"Maintenance-Inventory",2.5,90,"2024-01-17 00:00:00","2024-01-17 00:00:00","30-00900        ","Paint, Roller9",", "
49354   ,,"RITZ PAINT",72,"Maintenance-Inventory",6,432,"2024-01-17 00:00:00","2024-01-17 00:00:00","30-01000        ","Paint, Handle 9",", "
49354   ,,"RITZ PAINT",48,"Maintenance-Inventory",5,240,"2024-01-17 00:00:00","2024-01-17 00:00:00","40-06900        ","Tape, Duct",", "
49361   ,,"Costello's Ace Hard Ware",10,"Maintenance-Inventory",175,1750,"2024-01-17 00:00:00","2024-01-19 00:00:00","35-02079        ","19 X 25 COMBO SINK/ VANITY",", "
