WONumber,JObStatus,Category,CompleteDate,CallDate,SchedDate,BatchID,BriefDesc,ExpenseType,yardiCreateDate,yardiUpdatedDate
432406,"Canceled","Repairs",,"2021-10-01 08:46:08",,0,"1022 - 1L - Post Plbg Ba ceiling   ","Payables","2021-10-01 00:00:00","2023-11-07 13:09:03"
439476,"Work Completed","Repairs","06/23/2022 11:22:00","2022-01-25 06:19:43","04/27/2023 14:28:00",1600030411,"1087/4D/VAC/REPAIRS                ","Payables","2022-01-25 00:00:00","2023-11-08 11:24:21"
446124,"Work Completed","Repairs","07/09/2023 09:14:00","2022-05-03 06:38:42","07/09/2023 07:51:00",1600030686,"1028/1J/VAC/REPAIRS                ","Payables","2022-05-03 00:00:00","2023-12-14 09:16:25"
451224,"Work Completed","Repairs","11/14/2023 09:20:00","2022-07-25 15:57:33","10/31/2023 09:41:00",1600030654,"1011 - 1H - Viol - 3 yr paint      ","Payables","2022-07-25 00:00:00","2023-12-01 15:16:12"
454493,"Call","Supplies",,"2022-09-19 11:14:01",,0,"1370-4B cabinets and sink          ","Payables","2022-09-19 00:00:00","2023-11-10 13:58:23"
454757,"Scheduled","Violation",,"2022-09-22 15:23:16","02/06/2024 11:03:00",0,"1440-5G-3 year paint               ","Payables","2022-09-22 00:00:00","2024-01-26 11:03:40"
455901,"Work Completed","Repairs","12/05/2023 15:05:00","2022-10-12 09:40:31","12/05/2023 08:41:00",1600030845,"2001 - 3Q - 3 year paint job       ","Payables","2022-10-12 00:00:00","2023-12-19 13:55:47"
456056,"Canceled","Repairs",,"2022-10-13 09:22:09","11/04/2022 08:00:00",0,"7001-605-3 YEAR PAINT              ","Payables","2022-10-13 00:00:00","2023-11-30 15:05:30"
456057,"Canceled","Repairs",,"2022-10-13 09:23:14","10/13/2022 09:23:00",0,"7001-503-3 YEAR PAINT              ","Payables","2022-10-13 00:00:00","2023-11-30 15:05:34"
456058,"Canceled","Repairs",,"2022-10-13 09:24:55","10/13/2022 09:24:00",0,"7001-601-3 YEAR PAINT              ","Payables","2022-10-13 00:00:00","2023-11-30 15:05:38"
456059,"Canceled","Repairs",,"2022-10-13 09:25:51","11/08/2022 08:00:00",0,"7001-804-3 YEAR PAINT              ","Payables","2022-10-13 00:00:00","2023-11-30 15:05:43"
458022,"Work Completed","Repairs",,"2022-11-08 10:34:33","12/20/2023 14:06:00",1600030951,"1440-8G-repairs bathroom           ","Payables","2022-11-08 00:00:00","2024-01-16 16:35:23"
459639,"Work Completed","Repairs","12/06/2023 15:45:00","2022-12-06 08:55:30","12/06/2023 15:45:00",1600030845,"1976/802/VAC/REPAIRS               ","Payables","2022-12-06 00:00:00","2024-01-03 10:55:48"
460934,"Work Completed","APH-Plumbing","11/25/2023 19:50:00","2022-12-28 21:26:53","12/28/2022 21:26:00",1600030656,"3531-27-plumbing radiator          ","Payables","2022-12-28 00:00:00","2023-11-25 20:04:04"
461665,"Scheduled","Supplies","01/12/2024 10:52:00","2023-01-11 09:47:36","01/11/2023 09:47:00",0,"1088-SUPPLIES/FIRE SAFETY STICKERS ","Payables","2023-01-11 00:00:00","2024-01-12 14:06:34"
462483,"Work Completed","Repairs","01/26/2024 11:50:00","2023-01-24 10:41:21","02/15/2024 11:51:13",1600031116,"1087-3B FIRE REPAIRS               ","Payables","2023-01-24 00:00:00","2024-02-15 11:51:13"
462577,"Call","Repairs",,"2023-01-25 10:19:56",,0,"1440-5G-ANNUAL-REPAIRS             ","Payables","2023-01-25 00:00:00","2024-01-25 10:29:05"
463099,"Scheduled","Repairs",,"2023-02-02 13:09:52","02/22/2023 13:09:00",0,"1705-2d-3 year paint               ","Payables","2023-02-02 00:00:00","2024-02-06 12:08:21"
463523,"Canceled","Repairs",,"2023-02-08 12:11:08","02/15/2023 12:11:00",0,"3509-5A-Bathroom repair            ","Payables","2023-02-08 00:00:00","2023-12-11 13:58:50"
465090,"Work Completed","APH-Boiler","10/02/2023 14:50:00","2023-02-23 16:00:30","10/02/2023 14:50:00",1600030376,"1011-BOILER-BROKEN DRAIN LINE      ","Payables","2023-02-23 00:00:00","2023-11-01 16:30:48"
467067,"Work Completed","AFP","06/16/2023 18:44:00","2023-03-29 10:22:30","03/29/2023 10:22:00",1600030377,"2050-bldg-dep water meter          ","Payables","2023-03-29 00:00:00","2023-11-01 16:51:13"
467204,"Work Completed","Repairs","07/14/2023 11:46:00","2023-03-31 09:17:20","05/19/2023 12:02:00",1600030411,"3508-2C                            ","Payables","2023-03-31 00:00:00","2023-11-08 11:47:25"
467293,"Work Completed","Supplies","04/04/2023 11:18:00","2023-04-03 09:48:19","01/29/2024 11:19:55",1600031048,"1440-bldg-assrt supplies           ","Payables","2023-04-03 00:00:00","2024-01-29 11:19:55"
467820,"Work Completed","Repairs","07/14/2023 11:06:00","2023-04-12 08:30:39","11/08/2023 11:07:00",1600030411,"1059/1F/VAC/REPAIRS                ","Payables","2023-04-12 00:00:00","2023-11-08 11:08:59"
468517,"Work Completed","Repairs","11/08/2023 11:14:00","2023-04-24 10:46:09","04/24/2023 10:46:00",1600030411,"1702-3B-REPAIRS                    ","Payables","2023-04-24 00:00:00","2023-11-08 11:15:59"
468776,"Work Completed","Repairs","07/13/2023 11:26:00","2023-04-28 09:32:16","07/13/2023 12:12:00",1600030411,"1832-1A-post leak repairs          ","Payables","2023-04-28 00:00:00","2023-11-08 11:30:53"
469360,"Work Completed","Repairs","10/17/2023 16:21:00","2023-05-09 11:16:48","10/17/2023 11:19:00",1600030597,"1976-302-3 YEAR PAINT JOB          ","Payables","2023-05-09 00:00:00","2023-11-17 16:23:44"
470074,"Work Completed","Repairs","07/03/2023 11:07:00","2023-05-23 06:47:14","11/08/2023 11:08:45",1600030411,"1028/2F/VAC/REPAIRS                ","Payables","2023-05-23 00:00:00","2023-11-08 11:08:45"
470888,"Work Completed","Repairs","01/12/2024 11:57:00","2023-06-07 09:41:41","01/31/2024 18:29:00",1600031116,"1101/1B/VAC/REPAIRS                ","Payables","2023-06-07 00:00:00","2024-02-15 13:33:42"
470929,"Work Completed","Supplies","06/08/2023 11:21:00","2023-06-07 12:53:42","06/07/2023 12:53:00",1600031048,"1055-BLDG-PAINT SUPPLIES           ","Payables","2023-06-07 00:00:00","2024-01-29 11:23:06"
470958,"Work Completed","Repairs","01/12/2024 11:52:00","2023-06-08 07:54:39","12/26/2023 16:05:00",0,"1117/3A/VAC/REPAIRS                ","Payables","2023-06-08 00:00:00","2024-01-17 11:52:54"
471220,"Work Completed","Repairs","11/06/2024 10:31:00","2023-06-13 08:20:38","11/06/2023 10:30:00",1600030845,"1057/4C/VAC/REPAIRS                ","Payables","2023-06-13 00:00:00","2024-01-03 11:03:52"
471971,"Canceled","APH-Plumbing",,"2023-06-27 11:33:35",,0,"359 Bronx River Avenue             ","Payables","2023-06-27 00:00:00","2024-01-09 09:31:47"
471973,"Canceled","APH-Plumbing",,"2023-06-27 11:36:56",,0,"355 Bronx River                    ","Payables","2023-06-27 00:00:00","2024-02-14 14:33:14"
472279,"Work Completed","Repairs","07/14/2023 11:31:00","2023-07-05 14:31:09","07/14/2023 14:31:00",1600030411,"637-1B 3-YEAR PAINT                ","Payables","2023-07-05 00:00:00","2023-11-08 11:33:08"
472332,"Work Completed","Repairs","07/12/2023 11:40:00","2023-07-06 09:55:01","07/12/2023 09:55:00",1600030411,"1512-4D-3YR PAINT                  ","Payables","2023-07-06 00:00:00","2023-11-08 11:41:42"
472499,"Canceled","APH-Plumbing","11/25/2023 20:58:00","2023-07-07 14:05:51","07/07/2023 14:05:00",0,"1906-4-stoppage                    ","Payables","2023-07-07 00:00:00","2023-11-25 21:02:48"
472523,"Work Completed","Repairs","07/14/2023 11:18:00","2023-07-10 10:19:41","07/14/2023 10:19:00",1600030411,"3520-1C-BATHROOM REPAIR            ","Payables","2023-07-10 00:00:00","2023-11-08 11:21:19"
