PONumber,WONumber,vendorCode,iQtyOrdered,ExpenseType,dUnitPrice,dTotalCost,dtordereddate,dtReceivedDate,stkcode,sDesc
47420   ,466622  ,"gol12",1,"Canceled",224.25,224.25,"2023-03-22 00:00:00",,"05-00100        ","12'' BASE CABINET"
2877    ,,"gol12",1,"XLegacyX",103.4,103.4,"2004-09-01 00:00:00",,"05-00100        ","Base Cabinet 12"
1105    ,,"lem5",1,"XLegacyX",103.4,103.4,"2004-01-05 00:00:00",,"05-00100        ","Base Cabinet 12"
41572   ,415170  ,"gol12",1,"Alltype Expense",0.01,0.01,"2021-01-08 00:00:00",,"05-00100        ","12'' BASE CABINET"
47386   ,466448  ,"gol12",1,"Maintenance-COGS",214,214,"2023-03-17 00:00:00","03/28/2023 00:00:00","05-00100        ","12'' BASE CABINET"
48451   ,,"gol12",2,"Canceled",1,2,"2023-08-24 00:00:00",,"05-00100        ","12'' BASE CABINET"
628     ,,"lem5",1,"XLegacyX",131.24,131.24,"2003-12-08 00:00:00",,"05-00200        ","Base Cabinet 12"""
47919   ,469942  ,"gol12",1,"Maintenance-COGS",214,214,"2023-05-25 00:00:00","06/15/2023 00:00:00","05-00250        ","Base Cabinet 15"
47791   ,469292  ,"gol12",2,"Maintenance-COGS",214,428,"2023-05-10 00:00:00","06/15/2023 00:00:00","05-00250        ","Base Cabinet 15"
47070   ,462548  ,"gol12",1,"Maintenance-COGS",209.18,209.18,"2023-02-06 00:00:00","03/03/2023 00:00:00","05-00250        ","Base Cabinet 15"
47189   ,463641  ,"gol12",1,"Maintenance-COGS",230,230,"2023-02-22 00:00:00",,"05-00300        ","Base Cabinet 18"
47430   ,466600  ,"gol12",1,"Maintenance-COGS",230,230,"2023-03-22 00:00:00","04/05/2023 00:00:00","05-00300        ","Base Cabinet 18"
550     ,,"lem5",1,"XLegacyX",146.66,146.66,"2003-12-02 00:00:00",,"05-00300        ","Base Cabinet 18"
41896   ,413204  ,"gol12",1,"Alltype Expense",0.01,0.01,"2021-02-17 00:00:00",,"05-00300        ","Base Cabinet 18"
963     ,,"lem5",1,"XLegacyX",146.66,146.66,"2003-12-18 00:00:00",,"05-00300        ","Base Cabinet 18"
46702   ,460467  ,"gol12",1,"Payables",230,230,"2022-12-20 00:00:00","01/06/2023 00:00:00","05-00300        ","Base Cabinet 18"
1677    ,,"lem5",1,"XLegacyX",1,1,"2004-02-11 00:00:00",,"05-00300        ","Base Cabinet 18"
1677    ,,"lem5",1,"XLegacyX",1,1,"2004-02-11 00:00:00",,"05-00300        ","Base Cabinet 18"
1364    ,,"lem5",1,"XLegacyX",130.04,130.04,"2004-01-20 00:00:00",,"05-00350        ","Base Cabinet 21"
953     ,,"lem5",1,"XLegacyX",130.04,130.04,"2003-12-17 00:00:00",,"05-00350        ","Base Cabinet 21"
48451   ,,"gol12",1,"Canceled",1,1,"2023-08-24 00:00:00",,"05-00350        ","Base Cabinet 21"
48237   ,473459  ,"gol12",1,"Maintenance-COGS",248,248,"2023-07-25 00:00:00","08/09/2023 00:00:00","05-00400        ","Base Cabinet 24"
47387   ,466232  ,"gol12",1,"Maintenance-COGS",264,264,"2023-03-17 00:00:00","03/28/2023 00:00:00","05-00400        ","Base Cabinet 24"
47373   ,466368  ,"gol12",1,"Maintenance-COGS",264,264,"2023-03-16 00:00:00","03/28/2023 00:00:00","05-00400        ","Base Cabinet 24"
