WONumber,BuildingNum,AptNum,JobStatus,Category,CallDate,StartDate,SchedDate,CompleteDate,Employee,BriefDesc,Quantity,Code,FullDesc,UnitPrice,PayAmt
422310,1371,"BLDG","Work Completed","Supplies","2021-04-23 09:20:01",,,"2023-03-13 15:07:02",,"1371-BLDG SIGNS/NUMBER             ",3,"37-00500        ","Floor Indicator By Number",8,24
428151,1061,"1-BOILER","Work Completed","Oil","2021-07-28 08:49:36",,"07/28/2021 08:49:00","2023-04-19 14:02:00",,"1061-12-BOILER CLEANING            ",1,"boiler          ","BOILER SERVICES",1950,1950
428151,1061,"1-BOILER","Work Completed","Oil","2021-07-28 08:49:36",,"07/28/2021 08:49:00","2023-04-19 14:02:00",,"1061-12-BOILER CLEANING            ",1,"35-00257        ","32oz Degreaser Spray Nine",18,18
428151,1061,"1-BOILER","Work Completed","Oil","2021-07-28 08:49:36",,"07/28/2021 08:49:00","2023-04-19 14:02:00",,"1061-12-BOILER CLEANING            ",2,"35-00672        ","Igniter With Gasket",62,124
428151,1061,"1-BOILER","Work Completed","Oil","2021-07-28 08:49:36",,"07/28/2021 08:49:00","2023-04-19 14:02:00",,"1061-12-BOILER CLEANING            ",2,"35-00460        ","Sensor Pilot",62,124
428151,1061,"1-BOILER","Work Completed","Oil","2021-07-28 08:49:36",,"07/28/2021 08:49:00","2023-04-19 14:02:00",,"1061-12-BOILER CLEANING            ",5,"75-10116        ","General Gasket Kit",15,75
428151,1061,"1-BOILER","Work Completed","Oil","2021-07-28 08:49:36",,"07/28/2021 08:49:00","2023-04-19 14:02:00",,"1061-12-BOILER CLEANING            ",4,"35-00290        ","Spray Cans",18,72
428151,1061,"1-BOILER","Work Completed","Oil","2021-07-28 08:49:36",,"07/28/2021 08:49:00","2023-04-19 14:02:00",,"1061-12-BOILER CLEANING            ",1,"35-00254        ","High Strength Adhesive Spray",30,30
428151,1061,"1-BOILER","Work Completed","Oil","2021-07-28 08:49:36",,"07/28/2021 08:49:00","2023-04-19 14:02:00",,"1061-12-BOILER CLEANING            ",1,,"CAN BLOW OFF DUSTER",21,21
428151,1061,"1-BOILER","Work Completed","Oil","2021-07-28 08:49:36",,"07/28/2021 08:49:00","2023-04-19 14:02:00",,"1061-12-BOILER CLEANING            ",1,,"AXIOM REPLACEMENT NEUTRALIZING KIT",62,62
428151,1061,"1-BOILER","Work Completed","Oil","2021-07-28 08:49:36",,"07/28/2021 08:49:00","2023-04-19 14:02:00",,"1061-12-BOILER CLEANING            ",0,,":Tax Amount",0,0
436016,1028,"2E","Scheduled","Repairs","2021-11-30 06:54:56",,"04/27/2023 14:25:00","2023-04-27 14:25:00",,"1028/2E/VAC/REPAIRS                ",0,,,0,0
