WONumber,BuildingNum,AptNum,JobStatus,Category,CallDate,StartDate,SchedDate,BatchID,BatchDate,CompleteDate,Employee,BriefDesc,Quantity,Code,FullDesc,UnitPrice,PayAmt,woBatchOccuredDate
459151,1712,"2E","Work Completed","Repairs","2022-11-29 11:02:59",,"2023-01-10 10:13:00",1600028009,"2023-01-27 08:21:43",,,"1712-2E-annual-repairs             ",1,,"ADD'L CHARGES",1896.8,1896.8,"2023-01-26 00:00:00"
459151,1712,"2E","Work Completed","Repairs","2022-11-29 11:02:59",,"2023-01-10 10:13:00",1600028009,"2023-01-27 08:21:43",,,"1712-2E-annual-repairs             ",6,257             ,"SQ.FT. Demo tile bathroom wall",3.3,19.8,"2023-01-26 00:00:00"
459151,1712,"2E","Work Completed","Repairs","2022-11-29 11:02:59",,"2023-01-10 10:13:00",1600028009,"2023-01-27 08:21:43",,,"1712-2E-annual-repairs             ",30,224             ,"SQ FT Repair the bathroom floor with wonder board, 12x12 white tiles and floor grout.",29.4,882,"2023-01-26 00:00:00"
459151,1712,"2E","Work Completed","Repairs","2022-11-29 11:02:59",,"2023-01-10 10:13:00",1600028009,"2023-01-27 08:21:43",,,"1712-2E-annual-repairs             ",2,700             ,"SQFT    Demo the bathroom hallway floor",3.65,7.3,"2023-01-26 00:00:00"
459151,1712,"2E","Work Completed","Repairs","2022-11-29 11:02:59",,"2023-01-10 10:13:00",1600028009,"2023-01-27 08:21:43",,,"1712-2E-annual-repairs             ",30,200             ,"SQFT    Demo the bathroom floor TILE",9.6,288,"2023-01-26 00:00:00"
459151,1712,"2E","Work Completed","Repairs","2022-11-29 11:02:59",,"2023-01-10 10:13:00",1600028009,"2023-01-27 08:21:43",,,"1712-2E-annual-repairs             ",1,279             ,"Prime bathroom with mildew resistant primer",175,175,"2023-01-26 00:00:00"
459151,1712,"2E","Work Completed","Repairs","2022-11-29 11:02:59",,"2023-01-10 10:13:00",1600028009,"2023-01-27 08:21:43",,,"1712-2E-annual-repairs             ",6,263             ,"SQFT   Repair the ceramic tile wall in the bathroom and install with wonderboard and 4x4 white wall tiles",29.4,176.4,"2023-01-26 00:00:00"
465380,2060,"2063BLDG","Work Completed","Supplies","2023-03-01 10:17:04",,"2023-03-02 09:28:00",1600028245,"2023-03-09 18:08:30","03/02/2023 09:28:00",,"2063-bldg-janitorial supplies-3-1  ",4,"40-04225        ","Carbon Monoxide Detectors/Smoke Detector Combo 10 Year",53.93,215.72,"2023-02-28 00:00:00"
465380,2060,"2063BLDG","Work Completed","Supplies","2023-03-01 10:17:04",,"2023-03-02 09:28:00",1600028245,"2023-03-09 18:08:30","03/02/2023 09:28:00",,"2063-bldg-janitorial supplies-3-1  ",7,"40-00600        ","Bags, Garbage 23x17x46 Regular",37.5,262.5,"2023-02-28 00:00:00"
465380,2060,"2063BLDG","Work Completed","Supplies","2023-03-01 10:17:04",,"2023-03-02 09:28:00",1600028245,"2023-03-09 18:08:30","03/02/2023 09:28:00",,"2063-bldg-janitorial supplies-3-1  ",3,"40-00350        ","Bags, Recycle Blue 55 gallon",35.53,106.59,"2023-02-28 00:00:00"
465380,2060,"2063BLDG","Work Completed","Supplies","2023-03-01 10:17:04",,"2023-03-02 09:28:00",1600028245,"2023-03-09 18:08:30","03/02/2023 09:28:00",,"2063-bldg-janitorial supplies-3-1  ",4,"40-04850        ","Gloves, nitrile (Disposable) 100pc XL",14.51,58.04,"2023-02-28 00:00:00"
461880,1021,"1-BLDG","Work Completed","Supplies","2023-01-13 11:11:30",,"2023-01-17 11:11:00",1600028010,"2023-01-27 08:38:16",,,"1021-BLDG-SUPPLIES                 ",5,"40-00600        ","Bags, Garbage 23x17x46 Regular",37.5,187.5,"2023-01-26 00:00:00"
461880,1021,"1-BLDG","Work Completed","Supplies","2023-01-13 11:11:30",,"2023-01-17 11:11:00",1600028010,"2023-01-27 08:38:16",,,"1021-BLDG-SUPPLIES                 ",4,"40-00450        ","Bags, Recycle Clear 55 Gallon",35.96,143.84,"2023-01-26 00:00:00"
461880,1021,"1-BLDG","Work Completed","Supplies","2023-01-13 11:11:30",,"2023-01-17 11:11:00",1600028010,"2023-01-27 08:38:16",,,"1021-BLDG-SUPPLIES                 ",0,,":Tax Amount",0,0,"2023-01-26 00:00:00"
461262,1712,"2E","Work Completed","Plumbing","2023-01-04 15:30:58",,"2023-01-04 15:30:00",1600028012,"2023-01-27 09:32:16",,"sepulved    ","1712-2E-REPLACE BATHTUB            ",0,,"",0,0,"2023-01-26 00:00:00"
461293,1712,"2E","Work Completed","Supplies","2023-01-05 11:01:26",,"2023-01-06 07:51:00",1600028010,"2023-01-27 08:38:16",,,"1712-2E-kitchen sink hardware      ",1,"del             ","DELIVERY CHARGE",30,30,"2023-01-26 00:00:00"
461255,1712,"2E","Work Completed","Repairs","2023-01-04 13:55:25",,"2023-01-10 13:55:00",1600028009,"2023-01-27 08:21:43",,,"1712-2E-CABINET INSTALLATION       ",1,125             ,"Install the new kitchen cabinets supplied by the super",385,385,"2023-01-26 00:00:00"
461255,1712,"2E","Work Completed","Repairs","2023-01-04 13:55:25",,"2023-01-10 13:55:00",1600028009,"2023-01-27 08:21:43",,,"1712-2E-CABINET INSTALLATION       ",1,,"ADD'L CHARGES",1105,1105,"2023-01-26 00:00:00"
461293,1712,"2E","Work Completed","Supplies","2023-01-05 11:01:26",,"2023-01-06 07:51:00",1600028010,"2023-01-27 08:38:16",,,"1712-2E-kitchen sink hardware      ",0,,":Tax Amount",0,0,"2023-01-26 00:00:00"
461317,1440,"BLDG","Work Completed","Supplies","2023-01-05 13:13:59",,"2023-01-06 13:13:00",1600028010,"2023-01-27 08:38:16",,,"1440-BLDG-SUPPLIES 1-5-23          ",5,"40-00350        ","Bags, Recycle Blue 55 gallon",35.53,177.65,"2023-01-26 00:00:00"
461317,1440,"BLDG","Work Completed","Supplies","2023-01-05 13:13:59",,"2023-01-06 13:13:00",1600028010,"2023-01-27 08:38:16",,,"1440-BLDG-SUPPLIES 1-5-23          ",4,"40-04850        ","Gloves, nitrile (Disposable) 100pc XL",14.51,58.04,"2023-01-26 00:00:00"
461317,1440,"BLDG","Work Completed","Supplies","2023-01-05 13:13:59",,"2023-01-06 13:13:00",1600028010,"2023-01-27 08:38:16",,,"1440-BLDG-SUPPLIES 1-5-23          ",6,"40-04551        ","Deodorant, lavender (5 gallon containers)",41.47,248.82,"2023-01-26 00:00:00"
461317,1440,"BLDG","Work Completed","Supplies","2023-01-05 13:13:59",,"2023-01-06 13:13:00",1600028010,"2023-01-27 08:38:16",,,"1440-BLDG-SUPPLIES 1-5-23          ",1,"del             ","DELIVERY CHARGE",30,30,"2023-01-26 00:00:00"
461317,1440,"BLDG","Work Completed","Supplies","2023-01-05 13:13:59",,"2023-01-06 13:13:00",1600028010,"2023-01-27 08:38:16",,,"1440-BLDG-SUPPLIES 1-5-23          ",5,"40-00450        ","Bags, Recycle Clear 55 Gallon",35.96,179.8,"2023-01-26 00:00:00"
461317,1440,"BLDG","Work Completed","Supplies","2023-01-05 13:13:59",,"2023-01-06 13:13:00",1600028010,"2023-01-27 08:38:16",,,"1440-BLDG-SUPPLIES 1-5-23          ",0,,":Tax Amount",0,0,"2023-01-26 00:00:00"
460923,1182,57,"Work Completed","Repairs","2022-12-28 15:35:50",,"2023-02-09 15:35:00",1600028114,"2023-02-16 16:46:54","02/09/2023 14:44:00",,"1182-57 LR FLOOR/KITCHEN FLOOR     ",1,,"(demo 4 layers of vinyl tiles)",0,0,"2023-02-16 00:00:00"
460923,1182,57,"Work Completed","Repairs","2022-12-28 15:35:50",,"2023-02-09 15:35:00",1600028114,"2023-02-16 16:46:54","02/09/2023 14:44:00",,"1182-57 LR FLOOR/KITCHEN FLOOR     ",90,110             ,"SQFT   Install a new kitchen floor using underlayment and VCT.",9.3,837,"2023-02-16 00:00:00"
461079,1090,"2B","Work Completed","Plumbing","2023-01-03 10:01:26",,"2023-01-03 10:01:00",1600028012,"2023-01-27 09:32:16",,,"1090-2B-PLUMBING                   ",1,"plumbing        ","PLUMBING SERVICES",1160,1160,"2023-01-26 00:00:00"
461852,1053,"BLDG","Work Completed","Supplies","2023-01-13 10:17:49",,"2023-01-18 08:38:00",1600028010,"2023-01-27 08:38:16",,,"1053 - Bldg - supplies 1-13-23     ",8,"20-00710        ","Plate, Receptacle duplex (white)",1.08,8.64,"2023-01-26 00:00:00"
461852,1053,"BLDG","Work Completed","Supplies","2023-01-13 10:17:49",,"2023-01-18 08:38:00",1600028010,"2023-01-27 08:38:16",,,"1053 - Bldg - supplies 1-13-23     ",2,"30-01550        ","TAPE, MESH",10.73,21.46,"2023-01-26 00:00:00"
461852,1053,"BLDG","Work Completed","Supplies","2023-01-13 10:17:49",,"2023-01-18 08:38:00",1600028010,"2023-01-27 08:38:16",,,"1053 - Bldg - supplies 1-13-23     ",8,"20-00900        ","Switches, Single light pole (white)",1.55,12.4,"2023-01-26 00:00:00"
462585,3517,"3B","Scheduled","Repairs","2023-01-25 11:08:10",,"2023-01-31 14:55:00",0,,,,"3517-3B-bathtub wall tile repairs  ",12,257             ,"SQ.FT. Demo tile bathroom wall",3.3,39.6,
462585,3517,"3B","Scheduled","Repairs","2023-01-25 11:08:10",,"2023-01-31 14:55:00",0,,,,"3517-3B-bathtub wall tile repairs  ",12,263             ,"SQFT   Repair the ceramic tile wall in the bathroom and install with wonderboard and 4x4 white wall tiles",29.4,352.8,
460404,1182,51,"Work Completed","Repairs","2022-12-19 13:03:13",,,1600028009,"2023-01-27 08:21:43",,,"1182/apt51/lead                    ",0,,":Tax Amount",0,0,"2023-01-26 00:00:00"
460404,1182,51,"Work Completed","Repairs","2022-12-19 13:03:13",,,1600028009,"2023-01-27 08:21:43",,,"1182/apt51/lead                    ",1,"svc             ","SERVICE TO BE RENDERED-CARPENTRY",14741,14741,"2023-01-26 00:00:00"
459950,1026,"BLDG","Work Completed","Repairs","2022-12-09 14:24:08",,,1600028009,"2023-01-27 08:21:43",,,"1026-Boiler room scaffold          ",1,"svc             ","SERVICE TO BE RENDERED-CARPENTRY",2613,2613,"2023-01-26 00:00:00"
460508,1088,"4K","Work Completed","Repairs","2022-12-20 15:13:13",,"2022-12-28 15:13:00",1600028009,"2023-01-27 08:21:43",,,"1088-4K 3-YEAR PAINT               ",1,,"ADD'L CHARGES",175,175,"2023-01-26 00:00:00"
460036,1367,"2M","Work Completed","Repairs","2022-12-12 16:15:14",,"2023-01-04 12:16:00",1600028009,"2023-01-27 08:21:43",,,"1367-2M                            ",32,305             ,"SQFT    Demo the bedroom #1 floor underneath the radiator.",3.65,116.8,"2023-01-26 00:00:00"
461801,3526,"4D","Work Completed","Repairs","2023-01-12 13:32:38",,"2023-01-19 14:26:00",1600028009,"2023-01-27 08:21:43",,,"3526-4D apt repair                 ",100,110             ,"SQFT   Install a new kitchen floor using underlayment and VCT.",9.3,930,"2023-01-26 00:00:00"
461801,3526,"4D","Work Completed","Repairs","2023-01-12 13:32:38",,"2023-01-19 14:26:00",1600028009,"2023-01-27 08:21:43",,,"3526-4D apt repair                 ",1,,"ADD;L CHARGES",1005,1005,"2023-01-26 00:00:00"
454498,1370,"4B","Work Completed","Supplies","2022-09-19 11:23:49",,"2022-11-07 09:31:00",1600028010,"2023-01-27 08:38:16",,,"1370-4B cabinets                   ",1,"05-01900        ","Countertop 60",303.35,303.35,"2023-01-26 00:00:00"
454498,1370,"4B","Work Completed","Supplies","2022-09-19 11:23:49",,"2022-11-07 09:31:00",1600028010,"2023-01-27 08:38:16",,,"1370-4B cabinets                   ",2,"05-00250        ","Base Cabinet 15",246.1,492.2,"2023-01-26 00:00:00"
