name,ColumnName,TypeName,max_length,precision,NULLable,is_identity
"FCLeaseStatusReportConfig","hMy","numeric",9,18,"False","True"
"FCLeaseStatusReportConfig","iType","smallint",2,5,"True","False"
"FCLeaseStatusReportConfig","sName","varchar",200,0,"True","False"
"FCLeaseStatusReportConfig","sHeader","varchar",200,0,"True","False"
"FCLeaseStatusReportConfig","sCustomHeader","varchar",200,0,"True","False"
"FCLeaseStatusReportConfig","bDefault","smallint",2,5,"True","False"
"LEASEBUT_50058_INCOME","HMY","numeric",9,18,"False","True"
"LEASEBUT_50058_INCOME","HCODE","numeric",9,18,"True","False"
"LEASEBUT_50058_INCOME","SCODE","varchar",12,0,"True","False"
"LEASEBUT_50058_INCOME","SNAME","varchar",30,0,"True","False"
"LEASEBUT_50058_INCOME","EFFDATE58","varchar",20,0,"True","False"
"LEASEBUT_50058_INCOME","ACTIONTYPE58","varchar",30,0,"True","False"
"LEASEBUT_50058_INCOME","SMEMBERNAME","varchar",50,0,"True","False"
"LEASEBUT_50058_INCOME","HEADER","varchar",30,0,"True","False"
"LEASEBUT_50058_INCOME","SINCOMESOURCE","varchar",50,0,"True","False"
"LEASEBUT_50058_INCOME","DANNUALINCOME","numeric",9,18,"True","False"
"LEASEBUT_50058_INCOME","DEXCLUSION","numeric",9,18,"True","False"
"LEASEBUT_50058_INCOME","RECORDDATE","datetime",8,23,"True","False"
"lease_letters","hMy","numeric",9,18,"False","True"
"lease_letters","hTenant","numeric",9,18,"False","False"
"lease_letters","iLettersSent","int",4,10,"True","False"
"HLEASEBUT4","HCODE","numeric",9,18,"True","False"
"HLEASEBUT4","HMY","numeric",9,18,"False","True"
"HLEASEBUT4","SCODE","varchar",12,0,"True","False"
"HLEASEBUT4","DVPACCT","varchar",20,0,"True","False"
"HLEASEBUT4","DVPNAME","varchar",35,0,"True","False"
"HLEASEBUT4","sname","varchar",30,0,"True","False"
"ApbLeaseSCAcct","hMy","numeric",9,18,"False","True"
"ApbLeaseSCAcct","hTenant","numeric",9,18,"True","False"
"ApbLeaseSCAcct","hApbMasterRecoverability","numeric",9,18,"True","False"
"ApbLeaseSCAcct","hApbPropSchedule","numeric",9,18,"True","False"
"ApbLeaseSCAcct","hAcct","numeric",9,18,"True","False"
"ApbLeaseSCAcct","dtEffectiveFrom","datetime",8,23,"True","False"
"ApbLeaseSCAcct","dtEffectiveTo","datetime",8,23,"True","False"
"ApbLeaseSCAcct","dMinAmount","numeric",13,21,"True","False"
"ApbLeaseSCAcct","dMaxAmount","numeric",13,21,"True","False"
"ApbLeaseSCAcct","bExclude","numeric",5,1,"True","False"
"ApbLeaseSCAcct","hApbRecoveryGroup","numeric",9,18,"True","False"
"ApbLeaseSCAcct","dPercOfAmountDue","numeric",9,18,"True","False"
"ApbLeaseSCAcct","dPercOfCharge","numeric",9,18,"True","False"
"ApbLeaseSCAcct","dMinPercOfCharge","numeric",9,18,"True","False"
"ApbLeaseSCAcct","sCapName","varchar",60,0,"True","False"
"ApbLeaseSCAcct","hCostGroup","numeric",9,18,"True","False"
"ETL_CommLeaseClauses_history","hmy","numeric",9,18,"False","True"
"ETL_CommLeaseClauses_history","Property_Code","varchar",8,0,"True","False"
"ETL_CommLeaseClauses_history","Lease_Code","varchar",8,0,"True","False"
"ETL_CommLeaseClauses_history","ClauseLib_Code","varchar",8,0,"True","False"
"ETL_CommLeaseClauses_history","Foreign_Db_Name","varchar",250,0,"True","False"
"ETL_CommLeaseClauses_history","Ref_Property_Id","varchar",250,0,"True","False"
"ETL_CommLeaseClauses_history","Ref_Lease_Id","varchar",250,0,"True","False"
"ETL_CommLeaseClauses_history","Amendment_Type","numeric",9,18,"True","False"
"ETL_CommLeaseClauses_history","Amendment_Sequence","numeric",9,18,"True","False"
"ETL_CommLeaseClauses_history","Parent_Amendment_Type","numeric",9,18,"True","False"
"ETL_CommLeaseClauses_history","Parent_Amendment_Sequence","numeric",9,18,"True","False"
"ETL_CommLeaseClauses_history","dtTimeStamp","datetime",8,23,"True","False"
"ETL_CommLeaseClauses_history","hUser","numeric",9,18,"True","False"
"ETL_CommLeaseClauses_history","IsUpdate","numeric",9,18,"True","False"
"ETL_CommLeaseClauses_history","WSLogID","numeric",9,18,"True","False"
"FCLeaseStatusReportConfigChargeCode","hMy","numeric",9,18,"False","True"
"FCLeaseStatusReportConfigChargeCode","hFCLeaseStatusReportConfig","numeric",9,18,"True","False"
"FCLeaseStatusReportConfigChargeCode","hChargeCode","numeric",9,18,"True","False"
"ApbLeaseSCMultipleAccount","hMy","numeric",9,18,"False","True"
"ApbLeaseSCMultipleAccount","hApbLeaseSCAcct","numeric",9,18,"True","False"
"ApbLeaseSCMultipleAccount","hAccount","numeric",9,18,"True","False"
"DCFSpecLeaseSettingsLCAccountXRef","hMy","numeric",9,18,"False","True"
"DCFSpecLeaseSettingsLCAccountXRef","hDCFSpecLeaseSettingsLC","numeric",9,18,"True","False"
"DCFSpecLeaseSettingsLCAccountXRef","hAccount","numeric",9,18,"True","False"
"LEASEBUT_CLUB","hMy","numeric",9,18,"False","True"
"LEASEBUT_CLUB","hCode","numeric",9,18,"True","False"
"LEASEBUT_CLUB","sCode","varchar",12,0,"True","False"
"LEASEBUT_CLUB","sName","varchar",30,0,"True","False"
"DCFSpecLeaseSettingsTI","hMy","numeric",9,18,"False","True"
"DCFSpecLeaseSettingsTI","hDCFSpecLeaseSettings","numeric",9,18,"False","False"
"DCFSpecLeaseSettingsTI","sColPrefix","varchar",200,0,"True","False"
"DCFSpecLeaseSettingsTI","hAccount","numeric",9,18,"False","False"
"DCFSpecLeaseSettingsTI","bAmount","smallint",2,5,"False","False"
"DCFSpecLeaseSettingsTI","bCalcType","smallint",2,5,"False","False"
"DCFSpecLeaseSettingsTI","iDefaultCalcType","int",4,10,"True","False"
"DCFSpecLeaseSettingsTI","bIncentiveRate","smallint",2,5,"False","False"
"DCFSpecLeaseSettingsTI","bInflationMethod","smallint",2,5,"False","False"
"DCFSpecLeaseSettingsTI","iDefaultInflationMethod","int",4,10,"True","False"
"DCFSpecLeaseSettingsTI","bRate","smallint",2,5,"False","False"
"DCFSpecLeaseSettingsTI","bTable","smallint",2,5,"False","False"
"DCFSpecLeaseSettingsTI","bPostingMethod","smallint",2,5,"False","False"
"DCFSpecLeaseSettingsTI","iDefaultPostingMethod","int",4,10,"True","False"
"DCFSpecLeaseSettingsTI","bPaymentSchedule","smallint",2,5,"False","False"
"DCFSpecLeaseSettingsTI","sReference","varchar",20,0,"True","False"
"DCFSpecLeaseSettingsTI","bContingency","smallint",2,5,"True","False"
"DCFSpecLeaseSettingsTI","bThreshold","smallint",2,5,"True","False"
"DCFSpecLeaseSettingsTI","bExclude","smallint",2,5,"True","False"
"DCFSpecLeaseSettingsTI","bRenewalPercentage","smallint",2,5,"True","False"
"DCFSpecLeaseSettingsTI","bRentTerm","smallint",2,5,"True","False"
"DCFSpecLeaseSettingsTI","bRentType","smallint",2,5,"True","False"
"LEASEBUT_BONDED","HMY","numeric",9,18,"False","True"
"LEASEBUT_BONDED","HCODE","numeric",9,18,"True","False"
"LEASEBUT_BONDED","SCODE","varchar",12,0,"True","False"
"LEASEBUT_BONDED","SNAME","varchar",30,0,"True","False"
"LEASEBUT_BONDED","sType","varchar",10,0,"True","False"
"LEASEBUT_BONDED","dAmnt","varchar",10,0,"True","False"
"LEASEBUT_BONDED","sAgency","varchar",30,0,"True","False"
"ResBluemoonLeaseForms","hMy","numeric",9,18,"False","True"
"ResBluemoonLeaseForms","hResBluemoonProducts","numeric",9,18,"False","False"
"ResBluemoonLeaseForms","sFormName","varchar",500,0,"True","False"
"ResBluemoonLeaseForms","sFormTitle","varchar",1000,0,"True","False"
"ResBluemoonLeaseForms","hProperty","numeric",9,18,"True","False"
"ResBluemoonLeaseForms","iLeaseType","smallint",2,5,"True","False"
"ResBluemoonLeaseForms","iObjecttype","numeric",9,18,"True","False"
"ResBluemoonLeaseForms","hObjectId","numeric",9,18,"True","False"
"ResBluemoonLeaseForms","hLeaseHistoryId","numeric",9,18,"True","False"
"ResBluemoonLeaseForms","iPageCount","numeric",9,18,"True","False"
"ResBluemoonLeaseForms","dtLastUpdated","datetime",8,23,"True","False"
"ResBluemoonLeaseForms","iFormType","smallint",2,5,"True","False"
"ResBluemoonLeaseForms","iFormStatus","smallint",2,5,"True","False"
"ResBluemoonLeaseForms","bExclude","smallint",2,5,"True","False"
"ResBluemoonLeaseForms","iOrder","numeric",9,18,"True","False"
"ResBluemoonLeaseForms","bAlloweSignature","smallint",2,5,"False","False"
"LEASEBUT_PHA_CRMTICKET","hMy","numeric",9,18,"False","True"
"LEASEBUT_PHA_CRMTICKET","hCode","numeric",9,18,"True","False"
"LEASEBUT_PHA_CRMTICKET","sCode","varchar",12,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","sName","varchar",30,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SDESC","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SOTHERNOTES","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","HTICKETID","numeric",9,18,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED1","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED2","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED3","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED4","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED5","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED6","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED7","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED8","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED9","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED10","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED11","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED12","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED13","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED14","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED15","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED16","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED17","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED18","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED19","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","SUSERDEFINED20","varchar",2000,0,"True","False"
"LEASEBUT_PHA_CRMTICKET","IMODEOFCONTACT","numeric",5,4,"True","False"
"LEASEBUT2_bak","HMY","numeric",9,18,"False","True"
"LEASEBUT2_bak","STYPE","varchar",30,0,"True","False"
"LEASEBUT2_bak","SFIELD","varchar",30,0,"True","False"
"LEASEBUT2_bak","SDESC","varchar",30,0,"True","False"
"LEASEBUT2_bak","ILEN","numeric",9,18,"True","False"
