name,ColumnName,TypeName,max_length,precision,NULLable,is_identity
"FillDocsConfigPropertyXref","HMY","numeric",9,18,"False","True"
"FillDocsConfigPropertyXref","hFillDocsConfig","numeric",9,18,"True","False"
"FillDocsConfigPropertyXref","hProperty","numeric",9,18,"True","False"
"ApbRecoveryPropScheduleAcct","hMy","numeric",9,18,"False","True"
"ApbRecoveryPropScheduleAcct","hApbRecoveryPropSchedule","numeric",9,18,"True","False"
"ApbRecoveryPropScheduleAcct","hAcct","numeric",9,18,"True","False"
"ChatIqPromptOverrideProperty","hChatIqPromptTemplate","numeric",9,18,"False","False"
"ChatIqPromptOverrideProperty","hProperty","numeric",9,18,"False","False"
"ChatIqPromptOverrideProperty","sPromptTemplate","nvarchar",-1,0,"False","False"
"ChatIqPromptOverrideProperty","sPromptTemplate","sysname",-1,0,"False","False"
"ChatIqPromptOverrideProperty","hUserCreatedBy","numeric",9,18,"True","False"
"ChatIqPromptOverrideProperty","hUserModifiedBy","numeric",9,18,"True","False"
"ChatIqPromptOverrideProperty","dtCreated","datetime",8,23,"True","False"
"ChatIqPromptOverrideProperty","dtLastModified","datetime",8,23,"True","False"
"ServiceRFP_PropertyXref","HMY","numeric",9,18,"False","True"
"ServiceRFP_PropertyXref","hRFP","numeric",9,18,"True","False"
"ServiceRFP_PropertyXref","hProperty","numeric",9,18,"True","False"
"ServiceRFP_PropertyXref","HCREATED","numeric",9,18,"True","False"
"ServiceRFP_PropertyXref","DTCREATED","date",3,10,"True","False"
"ServiceRFP_PropertyXref","HUPDATED","numeric",9,18,"True","False"
"ServiceRFP_PropertyXref","DTUPDATED","date",3,10,"True","False"
"CommFloorPlanPropertySiteAreaLayerSelection","hMy","numeric",9,18,"False","True"
"CommFloorPlanPropertySiteAreaLayerSelection","hPropertySite","numeric",9,18,"False","False"
"CommFloorPlanPropertySiteAreaLayerSelection","iFloorLevel","int",4,10,"False","False"
"CommFloorPlanPropertySiteAreaLayerSelection","sLayerName","nvarchar",100,0,"False","False"
"CommFloorPlanPropertySiteAreaLayerSelection","sLayerName","sysname",100,0,"False","False"
"InsightGRESBResponseProperties","hMy","numeric",9,18,"False","True"
"InsightGRESBResponseProperties","hSurveyResponse","numeric",9,18,"False","False"
"InsightGRESBResponseProperties","hProperty","numeric",9,18,"False","False"
"InsightGRESBResponseProperties","sManager","nvarchar",100,0,"True","False"
"InsightGRESBResponseProperties","sManager","sysname",100,0,"True","False"
"InsightGRESBResponseProperties","hGRESBParamsLegalStatus","numeric",9,18,"True","False"
"InsightGRESBResponseProperties","sSurveyYear","nvarchar",8,0,"True","False"
"InsightGRESBResponseProperties","sSurveyYear","sysname",8,0,"True","False"
"InsightGRESBResponseProperties","CompanyFundId","numeric",9,18,"True","False"
"InsightGRESBResponseProperties","hGRESBParamsCountry","numeric",9,18,"True","False"
"InsightGRESBResponseProperties","hGRESBParamsPropertyType","numeric",9,18,"True","False"
"InsightGRESBResponseProperties","hGRESBParamsRegion","numeric",9,18,"True","False"
"InsightGRESBResponseProperties","dtCreatedDateUtc","datetime",8,23,"False","False"
"InsightGRESBResponseProperties","dtUpdatedDateUtc","datetime",8,23,"False","False"
"InsightGRESBResponseProperties","dtSubmittedDateUtc","datetime",8,23,"True","False"
"InsightGRESBResponseProperties","dtDeletedDateUtc","datetime",8,23,"True","False"
"SeniorBIFinancialMeasuresPropertyBook","hMy","numeric",9,18,"False","True"
"SeniorBIFinancialMeasuresPropertyBook","hFinancialMeasureId","numeric",9,18,"False","False"
"SeniorBIFinancialMeasuresPropertyBook","hPropertyId","numeric",9,18,"True","False"
"SeniorBIFinancialMeasuresPropertyBook","hBookId","numeric",9,18,"False","False"
"SeniorBIFinancialMeasuresPropertyBook","hBookTypeId","numeric",9,18,"False","False"
"SeniorPropertyMedicaidRate","hMy","numeric",9,18,"False","True"
"SeniorPropertyMedicaidRate","hProperty","numeric",9,18,"False","False"
"SeniorPropertyMedicaidRate","dtFromDate","datetime",8,23,"False","False"
"SeniorPropertyMedicaidRate","dtToDate","datetime",8,23,"True","False"
"SeniorPropertyMedicaidRate","dAmount","numeric",9,18,"False","False"
"SeniorPropertyMedicaidRate","hUserCreated","numeric",9,18,"True","False"
"SeniorPropertyMedicaidRate","dtCreated","datetime",8,23,"True","False"
"SeniorPropertyMedicaidRate","hUserLastModified","numeric",9,18,"True","False"
"SeniorPropertyMedicaidRate","dtLastModified","datetime",8,23,"True","False"
"SeniorPropertyMedicaidRate","bActive","smallint",2,5,"True","False"
"SeniorPropertyMedicaidRate","hUserDeactive","numeric",9,18,"True","False"
"SeniorPropertyMedicaidRate","dtDeactive","datetime",8,23,"True","False"
"icPropLocationXref","hMy","numeric",9,18,"False","True"
"icPropLocationXref","hIcInventoryLocation","numeric",9,18,"False","False"
"icPropLocationXref","hProperty","numeric",9,18,"False","False"
"icPropLocationXref","hUserCreated","numeric",9,18,"True","False"
"icPropLocationXref","dtCreated","datetime",8,23,"True","False"
"icPropLocationXref","hUserLastModified","numeric",9,18,"True","False"
"icPropLocationXref","dtLastModified","datetime",8,23,"True","False"
"PROPBUT19","HMY","numeric",9,18,"False","True"
"PROPBUT19","HCODE","numeric",9,18,"True","False"
"PROPBUT19","SCODE","varchar",12,0,"True","False"
"PROPBUT19","SNAME","varchar",30,0,"True","False"
"CondoPropBillPlanSeq","hMy","numeric",9,18,"False","True"
"CondoPropBillPlanSeq","hPropBillPlan","numeric",9,18,"False","False"
"CondoPropBillPlanSeq","SeqNum","numeric",5,2,"True","False"
"CondoPropBillPlanSeq","SeqDescr","varchar",30,0,"False","False"
"CondoPropBillPlanSeq","hChargeCode","numeric",9,18,"True","False"
"CondoPropBillPlanSeq","BillPercent","numeric",5,5,"True","False"
